ID,Team,Opp,vFA,W,L,IP,TBF,H,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,GBpct,HR/FB,ERA,FIP,xFIP,PCL,Coors,Pit,Str,Pitpct,Age
1,COL,@ARI,83.7,1,0,5,21,5,1,1,1,3,5.4,1.8,1.8,0.25,0.588,0.2,1.8,5.09,3.96,y,n,85,53,0.623529412,31
1,COL,@LAD,86.1,0,1,4,19,6,5,1,1,3,6.75,2.25,2.25,0.385,0.214,0.167,11.25,6.34,5.3,y,n,66,38,0.575757576,31
1,COL,ARI,84.1,0,0,4,18,5,2,0,0,0,0,0,0,0.294,0.563,0,4.5,3.84,5.31,y,y,75,45,0.6,31
1,COL,@SFG,84.1,0,1,5,22,6,2,0,1,3,5.4,1.8,0,0.333,0.333,0,3.6,2.49,5.14,y,n,78,53,0.679487179,31
1,COL,SFG,83.9,0,1,3,16,7,5,0,0,5,15,0,0,0.636,0.273,0,15,-0.24,1.23,y,y,78,51,0.653846154,31
1,COL,@PHI,84.4,0,0,5.2,24,6,0,0,1,7,11.12,1.59,0,0.375,0.467,0,0,1.15,1.67,y,n,86,60,0.697674419,31
1,COL,SDP,83.8,0,0,3.2,21,10,5,1,0,4,9.82,0,2.45,0.6,0.467,0.333,12.27,5.28,2.93,y,y,80,55,0.6875,31
1,COL,LAD,85.8,1,0,5,19,3,0,0,1,6,10.8,1.8,0,0.25,0.5,0,0,1.29,2.47,y,y,91,56,0.615384615,31
1,COL,@NYM,85.2,0,0,5,21,5,1,0,2,4,7.2,3.6,0,0.333,0.533,0,1.8,2.69,3.87,y,n,82,46,0.56097561,31
1,COL,MIA,84.8,0,0,5,22,5,4,1,1,3,5.4,1.8,1.8,0.25,0.769,0.5,7.2,5.69,3.68,y,y,71,42,0.591549296,31
1,COL,MIL,84.7,1,0,5.1,25,6,3,1,2,2,3.38,3.38,1.69,0.263,0.667,0.25,5.06,6.47,5.13,y,y,76,44,0.578947368,31
1,COL,@LAD,86.6,0,0,4,18,4,3,1,2,2,4.5,4.5,2.25,0.231,0.429,0.143,6.75,6.84,6.16,y,n,73,41,0.561643836,31
1,COL,SFG,85.1,0,1,3.2,21,9,6,2,2,3,7.36,4.91,4.91,0.5,0.4,0.333,14.73,10.19,5.5,y,y,66,41,0.621212121,31
