TEAM,Win,win_pct,FT_pct,TOV,FGA,FG,attempts_3P,avg_3P_pct,PTS,OREB,DREB,REB,AST,STL,BLK,PF,attempts_2P,Loss
ATL,24,0.293,78.7097561,15,85.54878049,44.77195122,31.02439024,36.34634146,103.3536585,9.06097561,32.84146341,41.90243902,23.73170732,7.780487805,4.243902439,19.58536585,54.52439024,58
BKN,28,0.341,77.91463415,14.23170732,86.75609756,44.21463415,35.65853659,35.58902439,106.597561,9.658536585,34.7804878,44.43902439,23.67073171,6.243902439,4.756097561,20.58536585,51.09756098,54
BOS,55,0.671,77.16219512,13.31707317,85.06097561,45.12804878,30.3902439,38.12804878,104.0121951,9.353658537,35.09756098,44.45121951,22.46341463,7.365853659,4.548780488,19.73170732,54.67073171,27
CHA,36,0.439,74.73658537,12.32926829,86.65853659,45.0597561,27.23170732,36.28780488,108.2195122,10.08536585,35.37804878,45.46341463,21.58536585,6.817073171,4.548780488,17.18292683,59.42682927,46
CHI,27,0.329,75.70365854,13.29268293,88.84146341,43.58414634,31.08536585,35.35121951,102.9268293,9.634146341,35.03658537,44.67073171,23.45121951,7.634146341,3.524390244,19.15853659,57.75609756,55
CLE,50,0.61,77.80853659,13.30487805,84.75609756,47.72317073,32.14634146,37.23658537,110.8658537,8.463414634,33.67073171,42.13414634,23.36585366,7.097560976,3.804878049,18.58536585,52.6097561,32
DAL,24,0.293,76.31829268,11.75609756,85.87804878,44.55121951,32.7804878,36.08902439,102.3170732,8.12195122,33.13414634,41.25609756,22.65853659,7.048780488,3.780487805,19.24390244,53.09756098,58
DEN,46,0.561,77.09634146,14.32926829,86.6097561,47.03414634,30.92682927,36.72073171,110,11,33.51219512,44.51219512,25.1097561,7.646341463,4.926829268,18.69512195,55.68292683,36
DET,39,0.476,74.13780488,12.75609756,86.93902439,45.01585366,28.93902439,37.22804878,103.7682927,10.12195122,33.6097561,43.73170732,22.7804878,7.658536585,3.865853659,18.3902439,58,43
GSW,58,0.707,81.39268293,14.98780488,85.13414634,50.33658537,28.90243902,38.86707317,113.4634146,8.426829268,35.08536585,43.51219512,29.29268293,7.987804878,7.463414634,19.59756098,56.23170732,24
HOU,65,0.793,78.02317073,13.17073171,84.2195122,46.0304878,42.31707317,36.38292683,112.3536585,9.012195122,34.45121951,43.46341463,21.54878049,8.524390244,4.780487805,19.47560976,41.90243902,17
IND,48,0.585,78.14512195,12.76829268,86.37804878,47.30731707,24.51219512,36.57682927,105.5609756,9.609756098,32.73170732,42.34146341,22.18292683,8.792682927,4.146341463,18.82926829,61.86585366,34
LAC,42,0.512,73.93170732,14.07317073,85.41463415,47.29634146,26.7804878,35.11585366,108.9878049,10.14634146,33.74390244,43.8902439,22.34146341,7.658536585,4.548780488,19.97560976,58.63414634,40
LAL,35,0.427,71.84512195,15.31707317,88.3902439,46.08902439,29.07317073,33.99756098,108.0731707,10.68292683,35.69512195,46.37804878,23.76829268,7.719512195,4.731707317,21.17073171,59.31707317,47
MEM,22,0.268,78.2097561,14.41463415,82.7804878,44.42560976,26.24390244,35.09878049,99.32926829,9.5,31.02439024,40.52439024,21.54878049,7.463414634,4.829268293,23.17073171,56.53658537,60
MIA,44,0.537,75.57682927,13.63414634,85.32926829,45.60243902,30.56097561,35.79756098,103.4146341,9.304878049,34.15853659,43.46341463,22.70731707,7.56097561,5.329268293,20.09756098,54.76829268,38
MIL,44,0.537,78.40731707,13.14634146,83.01219512,47.89268293,24.68292683,35.62682927,106.4756098,8.390243902,31.45121951,39.84146341,23.23170732,8.804878049,5.402439024,21.36585366,58.32926829,38
MIN,47,0.573,80.23292683,11.74390244,86.13414634,47.75121951,22.5,35.8,109.5121951,10.34146341,31.62195122,41.96341463,22.69512195,8.402439024,4.207317073,18.23170732,63.63414634,35
NOP,48,0.585,77.43536585,14.41463415,88.30487805,48.43292683,28.19512195,35.94390244,111.7195122,8.682926829,35.65853659,44.34146341,26.76829268,8.012195122,5.914634146,19.14634146,60.1097561,34
NYK,29,0.354,78.68170732,14.19512195,87.7195122,46.47439024,23.34146341,35.25853659,104.4634146,10.47560976,33.56097561,44.03658537,23.31707317,6.731707317,5.134146341,20.51219512,64.37804878,53
OKC,48,0.585,71.46463415,13.43902439,88.06097561,45.32195122,30.37804878,35.21463415,107.8536585,12.48780488,32.57317073,45.06097561,21.34146341,9.06097561,5.024390244,20.15853659,57.68292683,34
ORL,25,0.305,76.18658537,13.93902439,85.87804878,45.29634146,29.32926829,34.80121951,103.402439,8.804878049,32.82926829,41.63414634,23.42682927,7.585365854,4.87804878,19.25609756,56.54878049,57
PHI,52,0.634,75.92682927,15.86585366,86.56097561,47.24634146,29.81707317,36.68902439,109.804878,10.8902439,36.53658537,47.42682927,27.08536585,8.317073171,5.12195122,22.08536585,56.74390244,30
PHX,21,0.256,73.75853659,15.06097561,87.08536585,44.3304878,27.87804878,33.53780488,103.9268293,10.26829268,33.85365854,44.12195122,21.25609756,6.93902439,4.512195122,22.03658537,59.20731707,61
POR,49,0.598,80.52560976,13.01219512,86.97560976,45.35,28.14634146,36.73414634,105.6219512,10.18292683,35.2804878,45.46341463,19.5,6.987804878,5.158536585,19.5,58.82926829,33
SAC,27,0.329,74.05731707,13.20731707,86.13414634,45.07682927,23.98780488,37.69146341,98.82926829,9.475609756,31.43902439,40.91463415,21.56097561,7.841463415,4.146341463,19.98780488,62.14634146,55
SAS,47,0.573,77.8097561,12.68292683,85.35365854,45.77560976,24.1097561,35.22560976,102.7317073,10.35365854,33.86585366,44.2195122,22.7804878,7.658536585,5.609756098,17.17073171,61.24390244,35
TOR,59,0.72,78.80609756,12.74390244,87.42682927,47.26829268,32.98780488,35.72317073,111.6585366,9.756097561,34.23170732,43.98780488,24.32926829,7.634146341,6.097560976,21.74390244,54.43902439,23
UTA,48,0.585,78.33170732,14.08536585,82.8902439,46.24756098,29.57317073,36.65365854,104.1463415,9.024390244,34.23170732,43.25609756,22.42682927,8.634146341,5.12195122,19.6097561,53.31707317,34
WAS,43,0.524,77.4695122,14.04878049,85.58536585,46.76707317,26.5,37.29634146,106.6097561,10.03658537,33.08536585,43.12195122,25.18292683,7.865853659,4.304878049,21.29268293,59.08536585,39
