id,days,last_scraped,host_since,room_type,bathrooms,bedrooms,price,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable
2515,3130,4/2/2017,9/6/2008,Private room,1,1,59,150,9,9,9,f
2595,3127,4/2/2017,9/9/2008,Entire home/apt,1,0,230,20,9,10,9,f
3647,3050,4/2/2017,11/25/2008,Private room,1,1,150,0,NA,NA,NA,f
3831,3038,4/2/2017,12/7/2008,Entire home/apt,1,1,89,116,9,9,9,f
4611,3012,4/2/2017,1/2/2009,Private room,NA,1,39,93,9,8,9,t
5099,2981,4/2/2017,2/2/2009,Entire home/apt,1,1,212,60,9,9,9,f
5107,2981,4/2/2017,2/2/2009,Entire home/apt,1,2,250,60,10,9,10,f
5121,2980,4/2/2017,2/3/2009,Private room,NA,1,60,50,8,9,9,f
5172,2980,4/2/2017,2/3/2009,Entire home/apt,1,1,129,53,9,10,9,f
5178,2952,4/2/2017,3/3/2009,Private room,1,1,79,329,7,10,9,f
5203,2978,4/2/2017,2/5/2009,Private room,1,1,79,112,10,10,10,f
5238,2976,4/2/2017,2/7/2009,Entire home/apt,1,1,140,139,9,9,9,f
5441,2967,4/2/2017,2/16/2009,Private room,1,1,126,114,9,10,10,f
5803,2946,4/3/2017,3/10/2009,Private room,NA,1,80,133,9,10,9,f
5857,2941,4/2/2017,3/14/2009,Entire home/apt,2,2,215,89,9,10,10,f
5945,3063,4/2/2017,11/12/2008,Private room,1,1,120,64,9,10,9,f
6848,2888,4/2/2017,5/6/2009,Entire home/apt,1,NA,140,71,10,9,9,f
6990,2882,4/2/2017,5/12/2009,Private room,1,1,95,196,10,10,10,t
7036,2699,4/2/2017,11/11/2009,Private room,1,1,59,4,10,9,9,f
7097,2877,4/2/2017,5/17/2009,Entire home/apt,1,1,215,116,10,10,9,f
7322,2867,4/2/2017,5/27/2009,Private room,1,1,120,201,10,10,9,f
7801,2851,4/2/2017,6/12/2009,Entire home/apt,1,NA,299,10,9,10,10,f
7816,2851,4/2/2017,6/12/2009,Entire home/apt,1,1,225,12,9,10,9,f
7852,2981,4/3/2017,2/3/2009,Entire home/apt,1,1,250,2,10,10,9,f
8024,2843,4/2/2017,6/20/2009,Private room,3,1,126,86,9,10,9,t
8025,2843,4/2/2017,6/20/2009,Private room,1,1,110,23,9,10,9,f
8110,2843,4/2/2017,6/20/2009,Private room,1,1,118,42,8,10,9,f
8225,3130,4/2/2017,9/6/2008,Private room,1,1,49,114,9,9,9,f
8270,2833,4/2/2017,6/30/2009,Entire home/apt,1,1,225,16,10,9,9,f
8343,2831,4/2/2017,7/2/2009,Entire home/apt,1.5,3,375,10,10,10,10,f
8371,2829,4/2/2017,7/4/2009,Private room,1,1,90,1,10,10,10,t
8477,2823,4/2/2017,7/10/2009,Entire home/apt,1,1,175,20,9,9,10,f
8490,2823,4/2/2017,7/10/2009,Entire home/apt,1,1,150,41,9,8,9,f
9357,2796,4/2/2017,8/6/2009,Entire home/apt,1,NA,150,53,8,10,9,f
9518,2790,4/2/2017,8/12/2009,Private room,1,1,40,64,8,8,8,f
9657,2847,4/2/2017,6/16/2009,Entire home/apt,1,1,180,18,9,10,8,f
9668,2785,4/3/2017,8/18/2009,Private room,1,1,50,202,8,9,9,t
9704,2786,4/2/2017,8/16/2009,Private room,1.5,1,55,43,10,10,10,f
9783,2784,4/2/2017,8/18/2009,Private room,NA,1,50,221,8,9,9,t
10423,2768,4/2/2017,9/3/2009,Entire home/apt,1,1,131,94,8,9,8,t
10452,2768,4/2/2017,9/3/2009,Private room,NA,1,60,65,9,9,9,f
10962,2945,4/2/2017,3/10/2009,Private room,1,1,80,128,9,10,10,f
11174,2747,4/2/2017,9/24/2009,Private room,1,1,69,52,10,10,9,f
11708,2734,4/2/2017,10/7/2009,Entire home/apt,1,1,85,128,9,9,9,f
11900,2730,4/2/2017,10/11/2009,Entire home/apt,1,2,120,126,9,8,9,f
11943,2729,4/2/2017,10/12/2009,Private room,1,1,150,0,NA,NA,NA,f
12048,2976,4/2/2017,2/7/2009,Shared room,1,1,45,167,9,9,10,f
12192,2722,4/2/2017,10/19/2009,Private room,1,1,70,199,8,9,9,f
12299,2719,4/2/2017,10/22/2009,Entire home/apt,1,1,120,3,10,10,10,f
12303,2719,4/2/2017,10/22/2009,Private room,2,1,120,24,10,9,10,f
12318,2882,4/2/2017,5/12/2009,Private room,2,1,135,62,9,10,9,f
12382,2715,4/2/2017,10/26/2009,Entire home/apt,1,2,108,174,9,8,9,f
12579,2712,4/2/2017,10/29/2009,Entire home/apt,2.5,3,375,15,10,10,10,f
12596,2667,4/2/2017,12/13/2009,Entire home/apt,1,2,150,79,8,9,8,f
12937,2710,4/2/2017,10/31/2009,Private room,1,1,130,150,10,10,10,f
12940,2710,4/2/2017,10/31/2009,Entire home/apt,1,2,150,42,8,7,8,f
13050,2708,4/2/2017,11/2/2009,Entire home/apt,1,2,115,11,9,9,9,f
13076,2708,4/2/2017,11/2/2009,Private room,1,1,73,8,9,8,9,f
13121,2806,4/2/2017,7/27/2009,Private room,1,1,68,60,9,7,8,f
13362,2704,4/2/2017,11/6/2009,Entire home/apt,1,1,113,60,9,10,9,f
13380,2703,4/2/2017,11/7/2009,Entire home/apt,1,1,100,5,10,10,10,f
13394,2702,4/2/2017,11/8/2009,Private room,1,1,80,106,9,10,9,f
13414,2702,4/2/2017,11/8/2009,Private room,1,1,9998,43,8,10,10,f
13488,2701,4/2/2017,11/9/2009,Entire home/apt,1,1,220,91,9,10,9,f
13552,2974,4/2/2017,2/9/2009,Entire home/apt,1,0,120,113,9,10,9,f
13808,2696,4/2/2017,11/14/2009,Private room,1,1,80,72,9,8,9,f
13974,2745,4/2/2017,9/26/2009,Entire home/apt,1,2,200,51,9,10,9,f
14287,2690,4/2/2017,11/20/2009,Entire home/apt,NA,1,120,23,9,10,9,f
14290,2691,4/3/2017,11/20/2009,Entire home/apt,1,2,199,44,9,9,9,f
14314,2690,4/3/2017,11/21/2009,Entire home/apt,1,1,144,73,10,9,9,f
14322,2689,4/2/2017,11/21/2009,Entire home/apt,1,1,200,7,8,10,8,f
14374,3147,4/2/2017,8/20/2008,Entire home/apt,1,2,150,147,9,9,9,t
14377,2688,4/2/2017,11/22/2009,Entire home/apt,1,1,140,74,10,9,9,f
14434,2980,4/2/2017,2/3/2009,Private room,NA,1,60,57,8,8,9,f
14435,2687,4/2/2017,11/23/2009,Private room,1,1,75,22,8,9,9,f
14468,2688,4/3/2017,11/23/2009,Private room,1,1,150,0,NA,NA,NA,t
14694,2692,4/2/2017,11/18/2009,Private room,2,1,145,6,9,9,9,f
14699,2692,4/2/2017,11/18/2009,Entire home/apt,2,3,350,3,9,10,9,f
14708,2692,4/2/2017,11/18/2009,Private room,2,1,135,7,10,10,9,f
14991,2679,4/2/2017,12/1/2009,Private room,1,1,90,14,10,10,10,f
15110,3092,4/2/2017,10/14/2008,Entire home/apt,1,2,89,4,9,8,8,f
15220,2677,4/2/2017,12/3/2009,Private room,0.5,1,69,167,10,10,9,f
15230,2677,4/2/2017,12/3/2009,Entire home/apt,1,2,185,9,9,8,8,f
15239,2887,4/2/2017,5/7/2009,Entire home/apt,2,1,325,2,8,6,6,f
15345,2676,4/2/2017,12/4/2009,Private room,1,1,85,98,9,8,9,f
15385,2675,4/2/2017,12/5/2009,Private room,1,1,80,20,9,10,9,f
15491,2677,4/2/2017,12/3/2009,Private room,1,1,69,5,10,10,10,f
15493,2677,4/2/2017,12/3/2009,Private room,0,1,59,24,9,8,8,f
15509,2677,4/2/2017,12/3/2009,Private room,NA,1,59,14,9,9,9,f
15711,2671,4/2/2017,12/9/2009,Entire home/apt,1,2,280,42,8,9,9,f
15729,2672,4/3/2017,12/9/2009,Private room,NA,1,89,21,7,8,7,f
15944,2669,4/2/2017,12/11/2009,Entire home/apt,1,2,135,58,9,10,10,f
15962,2668,4/2/2017,12/12/2009,Entire home/apt,1,1,130,58,7,10,9,f
16056,2668,4/3/2017,12/13/2009,Private room,1,1,73,13,10,10,10,f
16076,2949,4/2/2017,3/6/2009,Entire home/apt,1,NA,94,34,10,10,10,f
16089,2131,4/2/2017,6/2/2011,Entire home/apt,1,1,185,119,9,9,9,f
16326,2664,4/2/2017,12/16/2009,Entire home/apt,2,4,345,105,10,10,10,f
16338,2664,4/2/2017,12/16/2009,Private room,1,1,50,25,9,9,9,f
16422,2663,4/2/2017,12/17/2009,Private room,1,1,85,32,10,9,9,f
16580,2662,4/3/2017,12/19/2009,Private room,1,1,80,167,9,9,9,t
16595,2660,4/2/2017,12/20/2009,Entire home/apt,1,1,115,94,9,9,9,f
16737,2658,4/2/2017,12/22/2009,Private room,1,1,120,267,9,9,9,f
16821,3056,4/2/2017,11/19/2008,Private room,1,1,79,51,8,10,9,f
16928,2656,4/3/2017,12/25/2009,Entire home/apt,1,1,150,47,9,10,9,f
16971,2655,4/3/2017,12/26/2009,Entire home/apt,1.5,NA,195,35,9,9,9,f
16974,2654,4/2/2017,12/26/2009,Entire home/apt,2,4,225,125,9,8,9,f
16990,2677,4/2/2017,12/3/2009,Private room,1,1,59,5,10,8,9,f
17052,2653,4/2/2017,12/27/2009,Entire home/apt,1,1,125,54,8,9,9,t
17092,2653,4/3/2017,12/28/2009,Private room,1,1,45,11,9,10,9,f
17135,2651,4/2/2017,12/29/2009,Entire home/apt,1,1,75,48,9,10,9,f
17226,3063,4/2/2017,11/12/2008,Entire home/apt,1,2,170,33,8,9,8,f
17240,2678,4/3/2017,12/3/2009,Private room,1,1,69,21,10,8,7,f
17297,2648,4/3/2017,1/2/2010,Entire home/apt,1,3,180,38,7,8,8,t
17298,2647,4/2/2017,1/2/2010,Entire home/apt,1,3,180,23,8,8,9,t
17299,2647,4/2/2017,1/2/2010,Entire home/apt,1,3,180,34,8,8,8,t
17454,2984,4/2/2017,1/30/2009,Entire home/apt,1,1,185,7,9,10,10,f
17693,2642,4/2/2017,1/7/2010,Private room,1,1,59,1,10,10,10,t
17747,2642,4/2/2017,1/7/2010,Private room,1,1,135,53,10,9,9,f
18590,2631,4/2/2017,1/18/2010,Private room,2.5,1,85,100,10,9,10,f
18728,2629,4/2/2017,1/20/2010,Private room,2.5,1,134,116,10,10,10,f
18764,2629,4/2/2017,1/20/2010,Private room,1,1,129,55,9,9,9,t
19159,2625,4/2/2017,1/24/2010,Entire home/apt,1,2,140,47,10,8,9,f
19169,2625,4/2/2017,1/24/2010,Entire home/apt,1,2,285,57,9,10,8,f
19319,2733,4/2/2017,10/8/2009,Private room,1,1,120,77,9,9,10,f
19601,2622,4/2/2017,1/27/2010,Entire home/apt,3.5,3,800,25,9,10,9,f
19812,2620,4/2/2017,1/29/2010,Entire home/apt,1,1,95,50,7,10,9,f
20299,2669,4/3/2017,12/12/2009,Private room,0,1,60,136,8,10,10,f
20300,2617,4/3/2017,2/2/2010,Private room,1,1,50,2,6,10,7,f
20611,2629,4/2/2017,1/20/2010,Private room,1,1,84,134,9,9,9,t
20724,2060,4/2/2017,8/12/2011,Private room,NA,1,60,16,8,9,9,f
20734,2611,4/2/2017,2/7/2010,Entire home/apt,1,1,131,64,10,10,10,f
20793,2741,4/3/2017,10/1/2009,Entire home/apt,1,1,178,286,10,9,9,f
20853,2610,4/2/2017,2/8/2010,Entire home/apt,2.5,2,250,7,10,10,10,f
21218,2740,4/2/2017,10/1/2009,Entire home/apt,1,1,148,360,10,10,9,f
21220,2740,4/2/2017,10/1/2009,Entire home/apt,1,1,248,288,10,10,9,f
21293,2734,4/2/2017,10/7/2009,Entire home/apt,1,1,105,63,9,9,9,f
