"","price","overall_satisfaction","reviews","room_type","accommodates","bedrooms","minstay","neighborhood","district","WalkScore","TransitScore","BikeScore","PctBlack"
"1",85,5,6,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"2",35,5,8,"Private room",1,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"3",175,4.5,7,"Entire home/apt",4,2,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"4",75,5,52,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"5",160,5,3,"Entire home/apt",6,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"6",60,5,5,"Private room",1,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"7",39,5,8,"Private room",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"8",65,5,25,"Private room",2,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"9",47,4.5,7,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"10",100,4.5,24,"Entire home/apt",6,2,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"11",150,4.5,8,"Entire home/apt",6,2,5,"Albany Park","Far North",87,62,68,0.0425315386240135
"12",38,5,3,"Private room",1,1,10,"Albany Park","Far North",87,62,68,0.0425315386240135
"13",87,5,10,"Private room",4,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"14",39,5,15,"Private room",3,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"15",73,5,3,"Entire home/apt",4,2,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"16",150,5,6,"Entire home/apt",6,3,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"17",48,5,5,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"18",84,5,18,"Entire home/apt",4,0,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"19",97,5,3,"Entire home/apt",4,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"20",65,5,4,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"21",180,5,9,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"22",149,5,13,"Entire home/apt",6,2,5,"Albany Park","Far North",87,62,68,0.0425315386240135
"23",89,5,22,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"24",150,4.5,20,"Entire home/apt",8,3,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"25",106,4,40,"Entire home/apt",4,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"26",50,5,4,"Private room",2,1,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"27",75,4.5,45,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"28",79,4.5,47,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"29",45,5,13,"Private room",1,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"30",66,5,5,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"31",35,5,8,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"32",40,5,15,"Private room",2,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"33",85,5,37,"Entire home/apt",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"34",50,5,16,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"35",37,4.5,14,"Private room",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"36",75,4.5,80,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"37",60,5,10,"Private room",2,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"38",100,4.5,10,"Entire home/apt",5,2,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"39",150,4.5,19,"Entire home/apt",6,3,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"40",39,5,21,"Private room",4,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"41",94,5,52,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"42",89,5,9,"Entire home/apt",4,1,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"43",49,4.5,4,"Private room",8,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"44",114,4.5,45,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"45",40,4.5,9,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"46",80,4.5,14,"Private room",4,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"47",95,5,5,"Entire home/apt",5,2,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"48",87,5,16,"Entire home/apt",2,0,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"49",100,5,33,"Entire home/apt",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"50",250,5,4,"Entire home/apt",7,4,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"51",70,4,4,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"52",50,5,30,"Private room",2,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"53",50,4.5,29,"Private room",2,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"54",100,4.5,43,"Entire home/apt",6,3,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"55",40,5,5,"Shared room",1,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"56",45,4.5,36,"Private room",2,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"57",106,3.5,3,"Entire home/apt",6,2,1,"Avondale","North",84,68,77,0.0211978550388963
"58",275,5,9,"Entire home/apt",6,3,NA,"Avondale","North",84,68,77,0.0211978550388963
"59",85,5,51,"Private room",2,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"60",70,5,3,"Private room",4,1,1,"Avondale","North",84,68,77,0.0211978550388963
"61",89,5,23,"Entire home/apt",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"62",100,5,6,"Entire home/apt",5,2,2,"Avondale","North",84,68,77,0.0211978550388963
"63",69,4.5,46,"Entire home/apt",4,1,1,"Avondale","North",84,68,77,0.0211978550388963
"64",105,5,59,"Entire home/apt",4,1,3,"Avondale","North",84,68,77,0.0211978550388963
"65",399,4.5,27,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"66",35,4.5,31,"Shared room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"67",110,5,46,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"68",79,5,58,"Entire home/apt",2,0,1,"Avondale","North",84,68,77,0.0211978550388963
"69",177,5,44,"Entire home/apt",8,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"70",78,5,4,"Entire home/apt",3,1,1,"Avondale","North",84,68,77,0.0211978550388963
"71",150,5,4,"Entire home/apt",4,2,1,"Avondale","North",84,68,77,0.0211978550388963
"72",110,4.5,22,"Entire home/apt",2,1,7,"Avondale","North",84,68,77,0.0211978550388963
"73",70,5,4,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"74",75,4.5,59,"Entire home/apt",4,2,2,"Avondale","North",84,68,77,0.0211978550388963
"75",35,4.5,10,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"76",500,5,3,"Entire home/apt",6,3,1,"Avondale","North",84,68,77,0.0211978550388963
"77",90,4.5,15,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"78",145,5,18,"Entire home/apt",6,2,3,"Avondale","North",84,68,77,0.0211978550388963
"79",80,5,43,"Private room",2,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"80",44,4.5,3,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"81",115,5,29,"Entire home/apt",8,2,2,"Avondale","North",84,68,77,0.0211978550388963
"82",75,5,3,"Entire home/apt",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"83",115,5,79,"Entire home/apt",8,2,2,"Avondale","North",84,68,77,0.0211978550388963
"84",40,5,3,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"85",72,5,4,"Entire home/apt",3,1,5,"Avondale","North",84,68,77,0.0211978550388963
"86",69,4.5,27,"Private room",2,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"87",55,4.5,52,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"88",85,5,7,"Entire home/apt",2,1,2,"Avondale","North",84,68,77,0.0211978550388963
"89",75,5,12,"Entire home/apt",4,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"90",499,5,6,"Entire home/apt",16,9,2,"Avondale","North",84,68,77,0.0211978550388963
"91",55,5,66,"Private room",4,1,1,"Avondale","North",84,68,77,0.0211978550388963
"92",75,5,26,"Private room",3,1,1,"Avondale","North",84,68,77,0.0211978550388963
"93",139,5,4,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"94",65,5,22,"Private room",3,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"95",150,5,8,"Entire home/apt",6,3,1,"Avondale","North",84,68,77,0.0211978550388963
"96",35,5,7,"Shared room",1,1,1,"Avondale","North",84,68,77,0.0211978550388963
"97",29,5,4,"Shared room",3,1,1,"Avondale","North",84,68,77,0.0211978550388963
"98",159,5,9,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"99",135,4.5,4,"Entire home/apt",6,3,2,"Avondale","North",84,68,77,0.0211978550388963
"100",110,5,40,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"101",119,5,21,"Entire home/apt",6,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"102",152,5,33,"Entire home/apt",8,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"103",20,5,34,"Shared room",1,1,1,"Avondale","North",84,68,77,0.0211978550388963
"104",143,4.5,6,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"105",70,4.5,48,"Private room",4,1,2,"Avondale","North",84,68,77,0.0211978550388963
"106",29,4.5,10,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"107",30,4.5,3,"Private room",1,1,1,"Avondale","North",84,68,77,0.0211978550388963
"108",46,4.5,12,"Shared room",7,1,1,"Avondale","North",84,68,77,0.0211978550388963
"109",85,4.5,127,"Entire home/apt",3,2,2,"Avondale","North",84,68,77,0.0211978550388963
"110",70,5,31,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"111",130,4.5,20,"Entire home/apt",8,2,1,"Avondale","North",84,68,77,0.0211978550388963
"112",95,4.5,38,"Entire home/apt",2,1,4,"Avondale","North",84,68,77,0.0211978550388963
"113",299,5,13,"Entire home/apt",5,2,2,"Avondale","North",84,68,77,0.0211978550388963
"114",45,4.5,75,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"115",130,5,49,"Entire home/apt",3,1,2,"Avondale","North",84,68,77,0.0211978550388963
"116",99,5,25,"Entire home/apt",4,2,1,"Avondale","North",84,68,77,0.0211978550388963
"117",90,5,61,"Private room",2,1,1,"Beverly","Far Southwest",64,50,68,0.348642805668989
"118",60,5,8,"Private room",4,1,1,"Beverly","Far Southwest",64,50,68,0.348642805668989
"119",115,4.5,58,"Entire home/apt",5,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"120",95,3.5,11,"Entire home/apt",4,3,1,"Bridgeport","South",81,61,82,0.0280713147175158
"121",55,5,10,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"122",65,4.5,14,"Entire home/apt",7,3,3,"Bridgeport","South",81,61,82,0.0280713147175158
"123",29,4.5,39,"Private room",2,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
