,id,age,coa,male,peer,alcuse
1,1,14,1,0,1.264911056,1.732050776
2,1,15,1,0,1.264911056,2
3,1,16,1,0,1.264911056,2
4,2,14,1,1,0.89442718,0
5,2,15,1,1,0.89442718,0
6,2,16,1,1,0.89442718,1
7,3,14,1,1,0.89442718,1
8,3,15,1,1,0.89442718,2
9,3,16,1,1,0.89442718,3.31662488
10,4,14,1,1,1.788854361,0
11,4,15,1,1,1.788854361,2
12,4,16,1,1,1.788854361,1.732050776
13,5,14,1,0,0.89442718,0
14,5,15,1,0,0.89442718,0
15,5,16,1,0,0.89442718,0
16,6,14,1,1,1.549193382,3
17,6,15,1,1,1.549193382,3
18,6,16,1,1,1.549193382,3.162277699
19,7,14,1,0,1.549193382,1.732050776
20,7,15,1,0,1.549193382,2.449489832
21,7,16,1,0,1.549193382,1
22,8,14,1,1,0,0
23,8,15,1,1,0,0
24,8,16,1,1,0,0
25,9,14,1,1,0,0
26,9,15,1,1,0,1
27,9,16,1,1,0,3.464101553
28,10,14,1,0,2,1
29,10,15,1,0,2,1
30,10,16,1,0,2,1
31,11,14,1,1,0,0
32,11,15,1,1,0,0
33,11,16,1,1,0,3.162277699
34,12,14,1,1,1.264911056,1
35,12,15,1,1,1.264911056,0
36,12,16,1,1,1.264911056,1.732050776
37,13,14,1,1,0,0
38,13,15,1,1,0,0
39,13,16,1,1,0,2
40,14,14,1,0,2,2.828427076
41,14,15,1,0,2,3.605551243
42,14,16,1,0,2,2.828427076
43,15,14,1,0,2,1.732050776
44,15,15,1,0,2,2.23606801
45,15,16,1,0,2,2.449489832
46,16,14,1,0,1.264911056,1
47,16,15,1,0,1.264911056,1.414213538
48,16,16,1,0,1.264911056,1.414213538
49,17,14,1,0,0.89442718,0
50,17,15,1,0,0.89442718,1
51,17,16,1,0,0.89442718,0
52,18,14,1,1,1.788854361,2
53,18,15,1,1,1.788854361,1.732050776
54,18,16,1,1,1.788854361,1
55,19,14,1,0,0,0
56,19,15,1,0,0,0
57,19,16,1,0,0,0
58,20,14,1,0,2.529822111,3.31662488
59,20,15,1,0,2.529822111,3.605551243
60,20,16,1,0,2.529822111,1
61,21,14,1,1,1.788854361,1
62,21,15,1,1,1.788854361,1.732050776
63,21,16,1,1,1.788854361,1.732050776
64,22,14,1,1,2,2.828427076
65,22,15,1,1,2,2.828427076
66,22,16,1,1,2,1
67,23,14,1,1,0,1
68,23,15,1,1,0,1
69,23,16,1,1,0,1.732050776
70,24,14,1,0,0,0
71,24,15,1,0,0,1
72,24,16,1,0,0,0
73,25,14,1,1,2.190890312,3
74,25,15,1,1,2.190890312,1
75,25,16,1,1,2.190890312,2.645751238
76,26,14,1,0,1.549193382,0
77,26,15,1,0,1.549193382,1
78,26,16,1,0,1.549193382,1.414213538
79,27,14,1,0,1.788854361,3
80,27,15,1,0,1.788854361,0
81,27,16,1,0,1.788854361,1.732050776
82,28,14,1,0,0.89442718,0
83,28,15,1,0,0.89442718,0
84,28,16,1,0,0.89442718,0
85,29,14,1,1,0.89442718,0
86,29,15,1,1,0.89442718,0
87,29,16,1,1,0.89442718,1
88,30,14,1,0,1.264911056,1
89,30,15,1,0,1.264911056,2
90,30,16,1,0,1.264911056,1.732050776
91,31,14,1,1,1.788854361,1.732050776
92,31,15,1,1,1.788854361,3.464101553
93,31,16,1,1,1.788854361,2.828427076
94,32,14,1,1,0,1.732050776
95,32,15,1,1,0,1.414213538
96,32,16,1,1,0,1
97,33,14,1,0,0.89442718,0
98,33,15,1,0,0.89442718,1
99,33,16,1,0,0.89442718,1.414213538
100,34,14,1,1,0,0
101,34,15,1,1,0,1
102,34,16,1,1,0,1
103,35,14,1,0,1.549193382,1
104,35,15,1,0,1.549193382,1
105,35,16,1,0,1.549193382,0
106,36,14,1,1,1.264911056,1
107,36,15,1,1,1.264911056,1
108,36,16,1,1,1.264911056,2
109,37,14,1,1,2,1
110,37,15,1,1,2,2.828427076
111,37,16,1,1,2,3.162277699
112,38,14,0,0,1.264911056,0
113,38,15,0,0,1.264911056,1.732050776
114,38,16,0,0,1.264911056,2
115,39,14,0,1,0.89442718,0
116,39,15,0,1,0.89442718,0
117,39,16,0,1,0.89442718,0
118,40,14,0,0,2.529822111,0
119,40,15,0,0,2.529822111,0
120,40,16,0,0,2.529822111,0
121,41,14,0,0,1.549193382,1.414213538
122,41,15,0,0,1.549193382,0
123,41,16,0,0,1.549193382,2
124,42,14,0,0,0.89442718,0
125,42,15,0,0,0.89442718,0
126,42,16,0,0,0.89442718,0
127,43,14,0,0,0.89442718,0
128,43,15,0,0,0.89442718,0
129,43,16,0,0,0.89442718,0
130,44,14,0,1,0,0
131,44,15,0,1,0,1.414213538
132,44,16,0,1,0,3
133,45,14,0,0,1.788854361,2.23606801
134,45,15,0,0,1.788854361,2.23606801
135,45,16,0,0,1.788854361,3
136,46,14,0,1,0.89442718,0
137,46,15,0,1,0.89442718,0
138,46,16,0,1,0.89442718,1.414213538
139,47,14,0,0,0.89442718,0
140,47,15,0,0,0.89442718,1
141,47,16,0,0,0.89442718,0
142,48,14,0,1,0,0
143,48,15,0,1,0,0
144,48,16,0,1,0,0
145,49,14,0,0,0,0
146,49,15,0,0,0,0
147,49,16,0,0,0,0
148,50,14,0,1,1.264911056,0
149,50,15,0,1,1.264911056,0
150,50,16,0,1,1.264911056,0
151,51,14,0,1,0,0
152,51,15,0,1,0,0
153,51,16,0,1,0,0
154,52,14,0,0,0.89442718,0
155,52,15,0,0,0.89442718,1
156,52,16,0,0,0.89442718,0
157,53,14,0,1,0,0
158,53,15,0,1,0,0
159,53,16,0,1,0,0
160,54,14,0,0,0,0
161,54,15,0,0,0,0
