name,ambiguity,distID,ideology,totalIssuePages,democrat,mismatch,incumbent,demHeterogeneity,attHeterogeneity,distLean
"DUNBAR, FORREST",0.7399,200,-0.6268,9,1,1.031120302,0,0.562956356,NA,0.249844942
"YOUNG, DONALD E",0.6661,200,0.7771,15,0,0.372779698,1,0.562956356,NA,0.249844942
"LEFLORE, BURTON R",0.0156,101,0.3514,1,1,0.181886579,0,0.584501842,1.272788782,0.36727638
"BYRNE, BRADLEY ROBERTS",0.3933,101,1.0819,7,0,0.548613421,1,0.584501842,1.272788782,0.36727638
"WRIGHT, ERICK",0.38,102,-0.0038,6,1,0.68480348,0,0.590602345,1.188103321,0.501781372
"ROBY, MARTHA",-0.4444,102,0.7752,0,0,0.09419652,1,0.590602345,1.188103321,0.501781372
"SMITH, JESSE TREMAIN",0.426,103,0.0104,4,1,0.609999528,0,0.584138275,1.224224134,0.446597882
"ROGERS, MICHAEL",0.2193,103,-1.1222,0,0,1.742599528,1,0.584138275,1.224224134,0.446597882
NA,NA,104,NA,NA,1,NA,0,0.523990814,1.158584549,0.629246213
"ADERHOLT, ROBERT B. REP.",0.4068,104,-0.4885,0,0,1.309488702,1,0.523990814,1.158584549,0.629246213
NA,NA,105,NA,NA,1,NA,0,0.546921113,1.292861366,0.515002014
"BROOKS, MO",0.1726,105,0.2648,0,0,0.430722735,1,0.546921113,1.292861366,0.515002014
"LESTER, MARK",0.6867,106,-0.2488,12,1,0.829897669,0,0.514217912,1.239048861,0.410811211
"PALMER, GARY",0.5481,106,1.3097,8,0,0.728602331,0,0.514217912,1.239048861,0.410811211
"SEWELL, TERRI A.",0.3545,107,1.0605,0,1,1.015298226,1,0.613404267,1.205005005,-0.07715376
NA,NA,107,NA,NA,0,NA,0,0.613404267,1.205005005,-0.07715376
"MCPHERSON, JACKIE",-0.1643,501,NA,0,1,NA,0,0.560104468,1.199260126,0.373706207
"CRAWFORD, ERIC ALAN RICK",0.1113,501,1.2979,0,0,0.757552017,1,0.560104468,1.199260126,0.373706207
"HAYS, PATRICK HENRY",0.4528,502,0.313,7,1,0.080875156,0,0.556563295,1.278983787,0.093050773
"HILL, JAMES FRENCH",0.6358,502,1.48,4,0,1.247875156,0,0.556563295,1.278983787,0.093050773
NA,NA,503,NA,NA,1,NA,0,0.5330791,1.268077619,0.431657087
"WOMACK, STEVE",0.4591,503,1.9918,4,0,1.387808844,1,0.5330791,1.268077619,0.431657087
"WITT, JAMES LEE",0.4515,504,0.3842,5,1,0.088736168,0,0.571506962,1.226962731,0.312323754
"WESTERMAN, BRUCE MR.",0.5762,504,0.5457,4,0,0.072763832,0,0.571506962,1.226962731,0.312323754
"KIRKPATRICK, ANN",0.4475,401,0.3837,8,1,0.116242163,1,0.608327695,1.372560031,0.336914313
"TOBIN, ANDY HON.",0.1725,401,NA,0,0,NA,0,0.608327695,1.372560031,0.336914313
"BARBER, RONALD",0.5741,402,0.3068,6,1,0.104613652,1,0.532725214,1.341737621,0.065789998
"MCSALLY, MARTHA E MS.",0.5152,402,0.4605,13,0,0.258313652,0,0.532725214,1.341737621,0.065789998
"GRIJALVA, RAUL M",0.9014,403,-0.7555,11,1,0.73474946,1,0.599172748,1.431376432,-0.13720725
"MERCER, GABRIELA SAUCEDO MRS",0.5242,403,1.3321,11,0,1.35285054,0,0.599172748,1.431376432,-0.13720725
"WEISSER, MIKEL",0.6846,404,-0.1988,19,1,0.773547054,0,0.513567995,1.300016316,0.405028599
"GOSAR, PAUL ANTHONY",0.733,404,1.2752,9,0,0.700452946,1,0.513567995,1.300016316,0.405028599
"WOODS, JAMES ISSAC",0.2965,405,-0.445,19,1,0.996919315,0,0.490588458,1.473873091,0.38424259
"SALMON, MATT",0.4208,405,1.4717,11,0,0.919780685,1,0.490588458,1.473873091,0.38424259
"WILLIAMSON, W JOHN",0.5245,406,-0.475,1,1,0.966742883,0,0.489186246,1.341018595,0.329448383
"SCHWEIKERT, DAVID",0.5512,406,1.0905,8,0,0.598757117,1,0.489186246,1.341018595,0.329448383
"GALLEGO, RUBEN",0.6099,407,-0.3124,8,1,0.226644053,0,0.637852277,1.344359296,-0.196398526
NA,NA,407,NA,NA,0,NA,0,0.637852277,1.344359296,-0.196398526
NA,NA,408,NA,NA,1,NA,0,0.492214169,1.437963186,0.308793967
"FRANKS, TRENT",0.7316,408,0.2441,9,0,0.224959663,1,0.492214169,1.437963186,0.308793967
"SINEMA, KYRSTEN",1.1416,409,-0.152,5,1,0.113928308,1,0.556232091,-0.231679717,-0.152979186
"ROGERS, WENDY",0.4358,409,1.0302,10,0,1.068271692,0,0.556232091,NA,-0.152979186
"HALL, HEIDI",0.7139,601,-0.1629,9,1,0.593411232,0,0.524024191,1.390367431,0.273693336
"LAMALFA, DOUG",0.4319,601,1.7131,9,0,1.282588768,1,0.524024191,1.390367431,0.273693336
"EGGMAN, MICHAEL RAY",0.3995,610,-0.0382,8,1,0.295128435,0,0.578706013,1.423501571,0.115635912
"DENHAM, JEFF",0.3528,610,NA,0,0,NA,1,0.578706013,1.423501571,0.115635912
"DESAULNIER, MARK",0.2903,611,0.1463,0,1,0.434264888,0,0.572647297,1.35569132,-0.38052175
"QUANG, TUE PHAN",0.2789,611,0.1789,9,0,0.466864888,0,0.572647297,1.35569132,-0.38052175
"PELOSI, NANCY",NA,612,NA,NA,1,NA,1,0.573242789,1.342712036,-1.062999263
"DENNIS, JOHN",0.3833,612,0.2649,7,0,1.302379545,0,0.573242789,1.342712036,-1.062999263
"LEE, BARBARA",0.7427,613,-1.2294,15,1,0.166330295,1,0.62670962,1.362256364,-1.08630062
"SUNDEEN, DAKIN M",0.3735,613,0.1851,3,0,1.248169705,0,0.62670962,1.362256364,-1.08630062
"SPEIER, JACKIE",0.8679,614,-1.6609,10,1,1.087027194,1,0.578524039,1.328531981,-0.640857853
"CHEW, ROBIN LEO",0.3112,614,0.6599,8,0,1.233772806,0,0.578524039,1.328531981,-0.640857853
"SWALWELL, ERIC MICHAEL",1.0684,615,-0.6308,5,1,0.599300485,1,0.585010888,1.402898712,-0.146994829
"BUSSELL, HUGH",0.1553,615,-2.1172,0,0,2.085700485,0,0.585010888,1.402898712,-0.146994829
"COSTA, JIM",0.8785,616,-2.5368,9,1,2.593065415,1,0.65709273,1.289491476,-0.067079659
"TACHERRA, JOHNNY",0.2429,616,0.4632,6,0,0.406934585,0,0.65709273,1.289491476,-0.067079659
"HONDA, MIKE",0.9264,617,-1.813,7,1,1.492381587,1,0.549958609,1.29561702,-0.410254719
NA,NA,617,NA,NA,0,NA,0,0.549958609,1.29561702,-0.410254719
"ESHOO, ANNA",0.6938,618,-1.0261,0,1,0.530647034,1,0.503844931,1.267665736,-0.569451941
"FOX, RICHARD B",0.6666,618,0.0109,12,0,0.506352966,0,0.503844931,1.267665736,-0.569451941
"LOFGREN, ZOE",-0.053,619,-0.2318,0,1,0.010820956,1,0.62105798,1.343096501,-0.339233413
NA,NA,619,NA,NA,0,NA,0,0.62105798,1.343096501,-0.339233413
"HUFFMAN, JARED MR",0.1563,602,-0.2461,0,1,0.303223143,1,0.523397958,1.329917056,-0.61850393
"MENSING, DALE KENNETH",0.4272,602,-0.5028,3,0,0.046523143,0,0.523397958,1.329917056,-0.61850393
"FARR, SAM",0.3098,620,NA,0,1,NA,1,0.57363994,1.224786854,-0.40845865
NA,NA,620,NA,NA,0,NA,0,0.57363994,1.224786854,-0.40845865
"RENTERIA, AMANDA",0.0891,621,-2.581,0,1,2.724024026,0,0.622644711,1.316229476,0.011919198
"VALADAO, DAVID",0.2514,621,0.2695,11,0,0.126475974,1,0.622644711,1.316229476,0.011919198
"MARRERO, SUZANNA AUGILERA",0.5547,622,-0.5859,3,1,0.812950519,0,0.589490264,1.328765419,0.088430299
"NUNES, DEVIN G",0.4497,622,0.4076,8,0,0.180549481,1,0.589490264,1.328765419,0.088430299
"GARCIA, RAUL",NA,623,NA,NA,1,NA,0,0.57951521,1.3846896,0.25915514
"MCCARTHY, KEVIN",0.2437,623,1.6994,8,0,1.284854995,1,0.57951521,1.3846896,0.25915514
"CAPPS, LOIS G",0.7627,624,1.3171,0,1,1.317870467,1,0.556010906,1.402458405,-0.11901421
"MITCHUM, CHRISTOPHER",0.5173,624,1.078,10,0,1.078770467,0,0.556010906,1.402458405,-0.11901421
NA,NA,625,NA,NA,1,NA,0,0.586672068,1.303608354,0.053781602
"STRICKLAND, ANTHONY A",0.4718,625,1.3534,6,0,1.164401586,0,0.586672068,1.303608354,0.053781602
"BROWNLEY, JULIA",0.7434,626,-0.4509,10,1,0.524624277,1,0.55042172,1.356153258,-0.051182331
