"","year","id","county","trauma","totalvisits","admit","emslevel","stations","divert","diverthours","admitrate","logdivert","year2013","admit1","totalvisits1","ems_basic","trauma_L0"
"1",2013,106014233,"Alameda","0",43286,6186,"Basic",22,"Yes",268,0.142909947789123,5.59098698051086,0,6.186,43.286,1,1
"2",2013,106190758,"Los Angeles","0",61915,8648,"Basic",38,"Yes",22,0.139675361382541,3.09104245335832,0,8.648,61.915,1,1
"3",2013,106300032,"Orange","0",54217,5670,"Basic",31,"Yes",11,0.104579744360625,2.39789527279837,0,5.67,54.217,1,1
"4",2013,106301205,"Orange","0",69558,10596,"Basic",56,"Yes",40,0.15233330458035,3.68887945411394,0,10.596,69.558,1,1
"5",2013,106301262,"Orange","LEVEL II",42994,9796,"Basic",33,"Yes",392,0.227845745918035,5.97126183979046,0,9.796,42.994,1,0
"6",2013,106304113,"Orange","0",14529,921,"Basic",46,"Yes",385,0.0633904604583936,5.95324333428778,0,0.921,14.529,1,1
"7",2013,106380964,"San Francisco","0",24783,2068,"Basic",10,"Yes",874,0.0834442964935641,6.77308037565554,0,2.068,24.783,1,1
"8",2014,106014233,"Alameda","LEVEL II",44068,4820,"Basic",22,"Yes",204,0.109376418262685,5.31811999384422,1,4.82,44.068,1,0
"9",2014,106190758,"Los Angeles","0",50818,7370,"Basic",38,"Yes",91,0.145027352512889,4.51085950651685,1,7.37,50.818,1,1
"10",2014,106301262,"Orange","LEVEL II",43440,10337,"Basic",33,"Yes",683,0.237960405156538,6.52649485957079,1,10.337,43.44,1,0
"11",2014,106304113,"Orange","0",13632,1088,"Basic",33,"Yes",673,0.07981220657277,6.51174532964473,1,1.088,13.632,1,1
"12",2014,106380964,"San Francisco","0",25213,2015,"Basic",10,"Yes",1157,0.0799190893586642,7.05358572719368,1,2.015,25.213,1,1
"13",2015,106190758,"Los Angeles","0",65959,12272,"Basic",28,"Yes",287,0.186054973544171,5.65948221575962,2,12.272,65.959,1,1
"14",2015,106301262,"Orange","LEVEL II",42174,9528,"Basic",33,"Yes",554,0.225921183667663,6.31716468674728,2,9.528,42.174,1,0
"15",2015,106304113,"Orange","0",13090,1089,"Basic",45,"Yes",602,0.0831932773109244,6.40025744530882,2,1.089,13.09,1,1
"16",2015,106380964,"San Francisco","0",26030,2222,"Basic",12,"Yes",1433,0.0853630426431041,7.26752542782817,2,2.222,26.03,1,1
"17",2014,106190587,"Los Angeles","0",14513,4876,"Basic",7,"Yes",217,0.335974643423138,5.37989735354046,1,4.876,14.513,1,1
"18",2013,106190522,"Los Angeles","0",29945,2800,"Basic",15,"Yes",643,0.0935047587243279,6.46614472423762,0,2.8,29.945,1,1
"19",2014,106014050,"Alameda","0",30755,5608,"Basic",18,"Yes",9,0.182344334254593,2.19722457733622,1,5.608,30.755,1,1
"20",2013,106301340,"Orange","0",80655,10921,"Basic",53,"Yes",17,0.135403880726551,2.83321334405622,0,10.921,80.655,1,1
"21",2013,106380933,"San Francisco","0",14395,1636,"Basic",11,"Yes",356,0.113650573115665,5.87493073085203,0,1.636,14.395,1,1
"22",2013,106190017,"Los Angeles","0",17395,3254,"Basic",8,"Yes",226,0.187065248634665,5.42053499927229,0,3.254,17.395,1,1
"23",2013,106190568,"Los Angeles","LEVEL II",58122,11891,"Basic",25,"Yes",960,0.204586903410068,6.86693328446188,0,11.891,58.122,1,0
"24",2013,106430763,"Santa Clara","0",43780,6820,"Basic",28,"Yes",254,0.155778894472362,5.53733426701854,0,6.82,43.78,1,1
"25",2014,106190631,"Los Angeles","0",76411,11764,"Basic",61,"Yes",8,0.153956891023544,2.07944154167984,1,11.764,76.411,1,1
"26",2013,106010739,"Alameda","0",44112,5183,"Basic",22,"Yes",43,0.117496372869061,3.76120011569356,0,5.183,44.112,1,1
"27",2013,106190524,"Los Angeles","0",19803,5706,"Basic",8,"Yes",56,0.288138160884714,4.02535169073515,0,5.706,19.803,1,1
"28",2014,106190256,"Los Angeles","0",13835,1761,"Basic",8,"Yes",2,0.127285869172389,0.693147180559945,1,1.761,13.835,1,1
"29",2013,106430705,"Santa Clara","LEVEL II",62680,9551,"Basic",33,"Yes",152,0.152377153797064,5.02388052084628,0,9.551,62.68,1,0
"30",2014,106301098,"Orange","0",42877,8096,"Basic",21,"Yes",184,0.188819180446393,5.21493575760899,1,8.096,42.877,1,1
"31",2013,106350784,"San Benito","0",16573,1559,"Basic",18,"Yes",2,0.0940686659023713,0.693147180559945,0,1.559,16.573,1,1
"32",2014,106190756,"Los Angeles","0",29625,6916,"Basic",27,"Yes",1084,0.233451476793249,6.98841318199959,1,6.916,29.625,1,1
"33",2014,106190517,"Los Angeles","0",28888,6466,"Basic",15,"Yes",218,0.223829963998892,5.38449506278909,1,6.466,28.888,1,1
"34",2014,106190385,"Los Angeles","LEVEL II",90426,8844,"Basic",32,"Yes",512,0.097803729015991,6.23832462503951,1,8.844,90.426,1,0
"35",2013,106381154,"San Francisco","0",40099,10324,"Basic",33,"Yes",807,0.257462779620439,6.69332366826995,0,10.324,40.099,1,1
