"","game","date","visitor","hometeam","foul.num","foul.home","foul.vis","foul.diff","score.diff","lead.vis","lead.home","previous.foul.home","previous.foul.vis","foul.type","offensive","personal","shooting","time"
"1",1,20100307,"IA","MN",1,0,1,0,7,0,1,0,0,"Personal",0,1,0,14.1666666666667
"2",1,20100307,"IA","MN",2,1,0,-1,10,0,1,0,1,"Personal",0,1,0,11.4333333333333
"3",1,20100307,"IA","MN",3,1,0,0,11,0,1,1,0,"Personal",0,1,0,10.2333333333333
"4",1,20100307,"IA","MN",4,0,1,1,11,0,1,1,0,"Personal",0,1,0,9.73333333333333
"5",1,20100307,"IA","MN",5,0,1,0,14,0,1,0,1,"Shooting",0,0,1,7.76666666666667
"6",1,20100307,"IA","MN",6,0,1,-1,22,0,1,0,1,"Shooting",0,0,1,5.56666666666667
"7",1,20100307,"IA","MN",7,1,0,-2,25,0,1,0,1,"Shooting",0,0,1,2.43333333333333
"8",1,20100307,"IA","MN",8,1,0,-1,23,0,1,1,0,"Offensive",1,0,0,1
"9",2,20100307,"MI","MIST",1,0,1,0,2,0,1,0,0,"Shooting",0,0,1,18.9833333333333
"10",2,20100307,"MI","MIST",2,1,0,-1,2,0,1,0,1,"Personal",0,1,0,17.2
"11",2,20100307,"MI","MIST",3,1,0,0,5,0,1,1,0,"Personal",0,1,0,14.0666666666667
"12",2,20100307,"MI","MIST",4,1,0,1,5,0,1,1,0,"Personal",0,1,0,13.9
"13",2,20100307,"MI","MIST",5,1,0,2,5,0,1,1,0,"Shooting",0,0,1,13.7
"14",2,20100307,"MI","MIST",6,0,1,3,4,0,1,1,0,"Shooting",0,0,1,13.4666666666667
"15",2,20100307,"MI","MIST",7,1,0,2,6,0,1,0,1,"Personal",0,1,0,13.2
"16",2,20100307,"MI","MIST",8,1,0,3,6,0,1,1,0,"Shooting",0,0,1,11.45
"17",2,20100307,"MI","MIST",9,0,1,4,13,0,1,1,0,"Shooting",0,0,1,8.71666666666667
"18",2,20100307,"MI","MIST",10,1,0,3,15,0,1,0,1,"Shooting",0,0,1,8.53333333333333
"19",2,20100307,"MI","MIST",11,0,1,4,17,0,1,1,0,"Personal",0,1,0,7.81666666666667
"20",2,20100307,"MI","MIST",12,0,1,3,12,0,1,0,1,"Personal",0,1,0,4.28333333333333
"21",2,20100307,"MI","MIST",13,1,0,2,12,0,1,0,1,"Personal",0,1,0,2.8
"22",2,20100307,"MI","MIST",14,0,1,3,17,0,1,1,0,"Shooting",0,0,1,0.833333333333333
"23",3,20100307,"WI","IL",1,0,1,0,-4,1,0,0,0,"Personal",0,1,0,18.4
"24",3,20100307,"WI","IL",2,1,0,-1,-1,1,0,0,1,"Shooting",0,0,1,14.5333333333333
"25",3,20100307,"WI","IL",3,0,1,0,-2,1,0,1,0,"Personal",0,1,0,13.75
"26",3,20100307,"WI","IL",4,0,1,-1,-1,1,0,0,1,"Personal",0,1,0,9.28333333333333
"27",3,20100307,"WI","IL",5,1,0,-2,-1,1,0,0,1,"Personal",0,1,0,7.15
"28",3,20100307,"WI","IL",6,1,0,-1,-3,1,0,1,0,"Offensive",1,0,0,6.23333333333333
"29",3,20100307,"WI","IL",7,0,1,0,-2,1,0,1,0,"Personal",0,1,0,3.38333333333333
"30",3,20100307,"WI","IL",8,0,1,-1,-2,1,0,0,1,"Offensive",1,0,0,1.85
"31",3,20100307,"WI","IL",9,0,1,-2,-5,1,0,0,1,"Shooting",0,0,1,0.516666666666667
"32",3,20100307,"WI","IL",10,1,0,-3,-3,1,0,0,1,"Personal",0,1,0,0.0833333333333333
"33",4,20100306,"PUR","PSU",1,0,1,0,-2,1,0,0,0,"Personal",0,1,0,18.3166666666667
