title,year,pass,budget,totalGross,domGross,intGross,totalROI,domROI,intROI
21 &amp; Over,2013,0,13000000,42195766,25682380,16513386,3.245828153846154,1.9755676923076924,1.2702604615384616
Dredd 3D,2012,1,45658735,41467257,13611086,27856171,0.9081998658088096,0.2981047547637927,0.6100951110450169
12 Years a Slave,2013,0,20000000,158607035,53107035,1055e5,7.93035175,2.65535175,5.275
2 Guns,2013,0,61000000,132493015,75612460,56880555,2.172016639344262,1.2395485245901638,0.9324681147540984
42,2013,0,40000000,95020213,95020213,0,2.375505325,2.375505325,0
47 Ronin,2013,0,225000000,145803842,38362475,107441367,0.6480170755555555,0.1704998888888889,0.47751718666666665
A Good Day to Die Hard,2013,0,92000000,304249198,67349198,2369e5,3.3070565,0.7320565,2.575
About Time,2013,1,12000000,87324746,15323921,72000825,7.277062166666667,1.2769934166666668,6.00006875
Admission,2013,1,13000000,18007317,18007317,0,1.3851782307692309,1.3851782307692309,0
After Earth,2013,0,130000000,244373198,60522097,183851101,1.8797938307692308,0.4655545923076923,1.4142392384615385
American Hustle,2013,1,40000000,249484909,148430908,101054001,6.237122725,3.7107727,2.526350025
August: Osage County,2013,1,25000000,50304874,37304874,13e6,2.01219496,1.49219496,0.52
Beautiful Creatures,2013,1,50000000,55940671,19452138,36488533,1.11881342,0.38904276,0.72977066
Blue Jasmine,2013,1,18000000,68447831,33345833,35101998,3.8026572777777776,1.8525462777777777,1.950111
Captain Phillips,2013,0,55000000,218743570,107136417,111607153,3.977155818181818,1.9479348545454545,2.0292209636363636
Carrie,2013,1,30000000,85001659,35266619,49735040,2.833388633333333,1.1755539666666666,1.6578346666666666
Cloudy with a Chance of Meatballs 2,2013,0,78000000,271725448,119640264,152085184,3.48365958974359,1.5338495384615385,1.9498100512820513
Despicable Me 2,2013,1,76000000,970766005,368065385,602700620,12.773236907894736,4.842965592105263,7.930271315789474
Don Jon,2013,0,5500000,26377704,24477704,19e5,4.795946181818182,4.450491636363636,0.34545454545454546
Elysium,2013,1,120000000,286192091,93050117,193141974,2.3849340916666666,0.7754176416666667,1.60951645
Ender&#39;s Game,2013,0,110000000,89737191,61737191,28e6,0.8157926454545454,0.5612471909090909,0.2545454545454545
Epic,2013,1,100000000,268418682,107518682,1609e5,2.68418682,1.07518682,1.609
Escape from Planet Earth,2013,1,40000000,66454811,57012977,9441834,1.661370275,1.425324425,0.23604585
Escape Plan,2013,0,70000000,103813103,25213103,786e5,1.4830443285714285,0.3601871857142857,1.1228571428571428
Evil Dead,2013,1,17000000,97402049,54239856,43162193,5.729532294117647,3.1905797647058822,2.5389525294117647
Fast and Furious 6,2013,1,160000000,788128122,238679850,549448272,4.9258007625,1.4917490625,3.4340517
Frozen,2013,1,150000000,1004550114,393050114,6115e5,6.69700076,2.6203340933333332,4.076666666666667
G.I. Joe: Retaliation,2013,1,140000000,371923060,122523060,2494e5,2.6565932857142855,0.8751647142857143,1.7814285714285714
Gangster Squad,2013,0,60000000,104100903,46000903,581e5,1.73501505,0.7666817166666666,0.9683333333333334
Gloria,2013,1,30000000,4967493,4167493,8e5,0.1655831,0.13891643333333334,0.02666666666666667
Gravity,2013,0,110000000,708714796,271814796,4369e5,6.4428617818181815,2.4710436,3.9718181818181817
Grown Ups 2,2013,0,80000000,247023808,133668525,113355283,3.0877976,1.6708565625,1.4169410375
Hansel &amp; Gretel: Witch Hunters,2013,1,50000000,225703475,55703475,17e7,4.5140695,1.1140695,3.4
Her,2013,0,23000000,33029713,25000178,8029535,1.4360744782608696,1.0869642608695653,0.3491102173913043
Identity Thief,2013,0,35000000,176269721,134506920,41762801,5.036277742857143,3.843054857142857,1.1932228857142857
Insidious: Chapter 2,2013,0,5000000,161911222,83586447,78324775,32.3822444,16.7172894,15.664955
Iron Man 3,2013,0,200000000,1212692272,408992272,8037e5,6.06346136,2.04496136,4.0185
Jack the Giant Slayer,2013,0,195000000,197387603,65187603,1322e5,1.012244117948718,0.3342954,0.6779487179487179
Kick-Ass 2,2013,1,28000000,60839197,28795985,32043212,2.1728284642857143,1.0284280357142856,1.1444004285714287
Last Vegas,2013,0,28000000,112914167,63914167,49e6,4.032648821428571,2.2826488214285714,1.75
Lee Daniels&#39; The Butler,2013,1,30000000,151513429,116632095,34881334,5.0504476333333335,3.8877365,1.1627111333333333
Machete Kills,2013,1,2000000,9408161,8008161,14e5,4.7040805,4.0040805,0.7
Mama,2013,1,15000000,148041253,71628180,76413073,9.869416866666667,4.775212,5.094204866666667
Man of Steel,2013,1,225000000,687999518,291045518,396954e3,3.0577756355555556,1.2935356355555556,1.76424
Nebraska,2013,1,12000000,17482517,17482517,0,1.4568764166666666,1.4568764166666666,0
Now You See Me,2013,0,75000000,351723989,117723989,234e6,4.689653186666667,1.5696531866666668,3.12
Oblivion,2013,0,120000000,287537983,89107235,198430748,2.396149858333333,0.7425602916666667,1.6535895666666667
Olympus Has Fallen,2013,0,70000000,150562164,98927592,51634572,2.1508880571428572,1.4132513142857144,0.7376367428571429
Oz the Great and Powerful,2013,1,200000000,489570996,234770996,2548e5,2.44785498,1.17385498,1.274
Pacific Rim,2013,0,190000000,411002906,101802906,3092e5,2.1631731894736843,0.5358047684210526,1.6273684210526316
Pain &amp; Gain,2013,0,26000000,81275291,49875291,314e5,3.125972730769231,1.918280423076923,1.2076923076923076
Parker,2013,1,35000000,46346651,17616641,28730010,1.3241900285714285,0.5033326,0.8208574285714286
Peeples,2013,0,15000000,9177065,9177065,0,0.6118043333333333,0.6118043333333333,0
Percy Jackson: Sea of Monsters,2013,1,90000000,200859554,68559554,1323e5,2.231772822222222,0.7617728222222222,1.47
Prisoners,2013,1,46000000,113402302,61002302,524e5,2.465267434782609,1.326137,1.1391304347826088
R.I.P.D.,2013,0,130000000,79019947,33618855,45401092,0.6078457461538461,0.2586065769230769,0.34923916923076925
Red 2,2013,1,84000000,137162560,53262560,839e5,1.6328876190476191,0.6340780952380952,0.9988095238095238
Riddick,2013,0,38000000,92425135,42025135,504e5,2.432240394736842,1.105924605263158,1.3263157894736841
Runner Runner,2013,0,30000000,62616646,19316646,433e5,2.0872215333333335,0.6438882,1.4433333333333334
Rush,2013,0,38000000,43047624,26947624,161e5,1.1328322105263158,0.709148,0.4236842105263158
Safe Haven,2013,1,28000000,93943623,71399120,22544503,3.355129392857143,2.5499685714285714,0.8051608214285715
Saving Mr. Banks,2013,1,35000000,100734332,82834332,179e5,2.8781237714285712,2.3666952,0.5114285714285715
Side Effects,2013,1,30000000,60288363,32172757,28115606,2.0096121,1.0724252333333333,0.9371868666666666
Star Trek Into Darkness,2013,0,190000000,466978661,228778661,2382e5,2.4577824263157897,1.2040982157894737,1.2536842105263157
Texas Chainsaw 3D,2013,1,20000000,39093317,34341945,4751372,1.95466585,1.71709725,0.2375686
