"","removed","freqchal","pvi2","obama","cperhs","sexexp","book","author","state","antifamily","cmedin","cperba","days2000","occult","language","homosexuality","violence","booktitle"
"1",0,0,-13.4,0,8.73804213135068,1,927,"Allende, Isabel","AK",0,15707.5,0.676270136307309,1917,1,1,1,1,"House of the Spirits, The"
"2",1,1,-13.4,0,8.73804213135068,0,1024,"Harris, Robie","AK",0,15707.5,0.676270136307309,2958,0,0,0,0,"It's Not the Stork!:  A Book About Girls, Boys, Babies and Bodies"
"3",0,0,-13.4,1,8.73804213135068,0,1087,"Pyle, Howard","AK",0,15707.5,0.676270136307309,3197,0,0,0,1,"King Stork"
"4",0,0,-13.4,1,8.73804213135068,0,936,"Levithan, David","AK",0,15707.5,0.676270136307309,3200,0,0,0,0,"How They Met and Other Stories"
"5",0,0,-13.4,1,8.73804213135068,0,764,"Masamune, Shirow","AK",0,15707.5,0.676270136307309,3197,0,0,0,0,"Ghost in the Shell"
"6",0,0,-13.4,0,8.73804213135068,0,1087,"Pyle, Howard","AK",0,15707.5,0.676270136307309,1351,0,0,0,1,"King Stork"
"7",0,0,-13.4,0,8.73804213135068,0,1489,"Gage, Simon","AK",0,15707.5,0.676270136307309,1351,0,0,1,0,"Queer"
"8",0,0,-13.4,0,8.73804213135068,0,2023,"Hesse, Karen","AK",0,15707.5,0.676270136307309,1351,0,0,0,0,"Witness"
"9",0,1,-13.4,0,8.73804213135068,1,1025,"Harris, Robie","AK",0,15707.5,0.676270136307309,721,0,0,0,0,"It's Perfectly Normal"
"10",1,0,-13.2,0,-4.26195786864932,0,318,"Koertge, Ron","AL",1,-5054,-5.02372986369269,2221,0,1,1,1,"Brimstone Journals, The"
"11",0,0,-13.2,1,-4.26195786864932,1,1972,"Mazer, Norma Fox","AL",0,-5054,-5.02372986369269,3240,0,1,0,1,"When She Was Good"
"12",1,1,-13.2,0,-4.26195786864932,0,1941,"Crutcher, Chris","AL",0,-5054,-5.02372986369269,1986,0,1,0,0,"Whale Talk"
"13",1,0,-13.2,1,-4.26195786864932,0,988,"Lopez, Jack","AL",0,-5054,-5.02372986369269,3626,0,1,0,0,"In the Break"
"14",0,0,-13.2,1,-4.26195786864932,0,63,"Kehret, Peg","AL",0,-5054,-5.02372986369269,3240,0,0,0,0,"Abduction"
"15",1,0,-13.2,1,-4.26195786864932,0,255,"Oh, Minya","AL",0,-5054,-5.02372986369269,3240,0,1,0,0,"Bling Bling:  Hip Hop's Crown Jewels"
"16",1,1,-13.2,0,-4.26195786864932,0,1941,"Crutcher, Chris","AL",0,-5054,-5.02372986369269,1924,0,1,0,0,"Whale Talk"
"17",0,0,-13.2,1,-4.26195786864932,0,1088,"Kadohata, Cynthia","AL",0,-5054,-5.02372986369269,3240,0,1,0,0,"Kira-Kira"
"18",0,0,-13.2,1,-4.26195786864932,1,1568,"Wittlinger, Ellen","AL",0,-5054,-5.02372986369269,3205,0,0,0,0,"Sandpiper"
"19",0,1,-13.2,0,-4.26195786864932,1,958,"Angelou, Maya","AL",0,-5054,-5.02372986369269,480,0,0,0,0,"I Know Why the Caged Bird Sings"
"20",0,1,-8.8,0,-4.26195786864932,1,1984,"Pullman, Philip","AR",0,-6258.5,-7.32372986369269,690,0,1,0,0,"White Mercedes, The"
"21",0,1,-8.8,0,-4.26195786864932,0,868,"Rowling, J.K.","AR",0,-6258.5,-7.32372986369269,325,1,0,0,1,"Harry Potter (series)"
"22",0,0,-8.8,1,-4.26195786864932,0,178,"McDaniel, Lurlene","AR",0,-6258.5,-7.32372986369269,3197,0,0,0,0,"Baby Alicia is Dying"
"23",0,0,-8.8,0,-4.26195786864932,0,1739,"Greene, Bette","AR",0,-6258.5,-7.32372986369269,828,0,1,0,0,"Summer of My German Soldier"
"24",0,0,-8.8,0,-4.26195786864932,0,1739,"Greene, Bette","AR",0,-6258.5,-7.32372986369269,480,0,1,0,0,"Summer of My German Soldier"
