Enrollment,type,nv,nvrate,enroll1000,region
5590,U,30,5.366726296958855,5.59,SE
540,C,0,0,0.54,SE
35747,U,23,0.6434106358575545,35.747,W
28176,C,1,0.03549119818285065,28.176,W
10568,U,1,0.09462528387585163,10.568,SW
3127,U,0,0,3.127,SW
20675,U,7,0.3385731559854897,20.675,W
12548,C,0,0,12.548,W
30063,U,19,0.6320061204803247,30.063,C
4429,C,4,0.9031384059607135,4.429,C
12254,U,3,0.2448180186061694,12.254,NE
11136,C,6,0.5387931034482758,11.136,NE
20949,U,26,1.2411093608286792,20.949,NE
12316,U,23,1.8674894446248782,12.316,SE
10678,C,7,0.6555534744334145,10.678,SE
25743,U,15,0.5826826710173639,25.743,SE
3641,C,0,0,3.641,SE
11321,U,9,0.7949827753732003,11.321,MW
1260,C,0,0,1.26,MW
27823,U,11,0.3953563598461704,27.823,C
14410,U,2,0.13879250520471895,14.41,C
22396,U,7,0.31255581353813183,22.396,C
6723,U,1,0.14874312063067083,6.723,C
23901,U,8,0.33471402870172795,23.901,SE
15489,U,13,0.8393053134482537,15.489,SW
13404,C,0,0,13.404,SW
10698,U,1,0.09347541596560105,10.698,NE
10966,U,5,0.4559547692868868,10.966,NE
11237,U,0,0,11.237,NE
5181,C,19,3.667245705462266,5.181,NE
13348,U,1,0.0749175906502847,13.348,NE
4339,C,6,1.3828070984097718,4.339,NE
38248,U,18,0.4706128425015687,38.248,MW
9764,C,0,0,9.764,MW
46597,U,9,0.1931454814687641,46.597,MW
9380,U,2,0.21321961620469082,9.38,MW
16878,U,4,0.2369949046095509,16.878,SE
1318,C,1,0.7587253414264037,1.318,SE
12969,U,2,0.15421389467190993,12.969,C
2878,C,3,1.0423905489923557,2.878,C
22764,U,3,0.13178703215603585,22.764,C
6426,U,0,0,6.426,C
23313,U,13,0.5576287908034144,23.313,W
9697,C,0,0,9.697,W
35650,U,24,0.6732117812061711,35.65,NE
6846,C,7,1.0224948875255624,6.846,NE
23753,U,27,1.136698522291921,23.753,SW
3556,U,3,0.843644544431946,3.556,SW
4018,U,1,0.24888003982080636,4.018,NE
6483,U,1,0.15424957581366652,6.483,NE
25494,U,8,0.31379932533145055,25.494,SE
1673,C,0,0,1.673,SE
11764,U,5,0.42502550153009183,11.764,C
2292,C,0,0,2.292,C
18739,U,3,0.1600939217674369,18.739,MW
20496,C,1,0.04879000780640125,20.496,MW
25104,U,7,0.2788400254939452,25.104,SW
1961,C,0,0,1.961,SW
3239,U,0,0,3.239,NE
1902,C,1,0.5257623554153522,1.902,NE
14264,U,4,0.28042624789680315,14.264,NE
7774,C,5,0.6431695394906097,7.774,NE
23000,U,17,0.7391304347826088,23,SE
1476,U,2,1.3550135501355014,1.476,SE
9260,U,1,0.1079913606911447,9.26,C
26033,U,8,0.3073022701955211,26.033,SE
12736,C,1,0.0785175879396985,12.736,SE
7369,U,1,0.13570362328674176,7.369,SW
13313,U,1,0.07511454968827462,13.313,SW
27668,U,6,0.21685701893884632,27.668,C
22609,C,1,0.044230173824583136,22.609,C
4638,U,10,2.1561017680034498,4.638,NE
4114,C,1,0.24307243558580455,4.114,NE
21073,U,7,0.33217861718787073,21.073,W
4227,C,1,0.2365744026496333,4.227,W
22774,U,1,0.04390972161236498,22.774,NE
3072,C,3,0.9765625,3.072,NE
40922,U,13,0.3176775328674063,40.922,MW
10549,U,7,0.6635700066357001,10.549,MW
12366,U,0,0,12.366,C
2729,C,0,0,2.729,C
