region,type,Enrollment,num_prop,num_viol,prop_rate_10000,viol_rate_10000,total_crime
SE,U,5590,266,30,475.8497317,53.66726297,296
SE,C,540,10,0,185.1851852,0,10
W,U,35747,1233,23,344.9240496,6.434106359,1256
W,C,28176,210,1,74.53151618,0.354911982,211
SW,U,10568,116,1,109.7653293,0.946252839,117
SW,U,3127,29,0,92.74064599,0,29
W,U,20675,284,7,137.3639661,3.38573156,291
W,C,12548,43,0,34.26840931,0,43
C,U,30063,660,19,219.5389682,6.320061205,679
C,C,4429,94,4,212.2375254,9.03138406,98
NE,U,12254,93,3,75.89358577,2.448180186,96
NE,C,11136,417,6,374.4612069,5.387931034,423
NE,U,20949,448,26,213.8526899,12.41109361,474
SE,U,12316,529,23,429.5225723,18.67489445,552
SE,C,10678,52,7,48.6982581,6.555534744,59
SE,U,25743,488,15,189.5660956,5.82682671,503
SE,C,3641,12,0,32.95797858,0,12
MW,U,11321,292,9,257.9277449,7.949827754,301
MW,C,1260,12,0,95.23809524,0,12
C,U,27823,367,11,131.9052582,3.953563598,378
C,U,14410,160,2,111.0340042,1.387925052,162
C,U,22396,208,7,92.87372745,3.125558135,215
C,U,6723,75,1,111.5573405,1.487431206,76
SE,U,23901,817,8,341.8267018,3.347140287,825
SW,U,15489,170,13,109.7553102,8.393053134,183
SW,C,13404,68,0,50.73112504,0,68
NE,U,10698,244,1,228.080015,0.93475416,245
NE,U,10966,108,5,98.48623017,4.559547693,113
NE,U,11237,226,0,201.1212957,0,226
NE,C,5181,76,19,146.6898282,36.67245705,95
NE,U,13348,115,1,86.15522925,0.749175907,116
NE,C,4339,75,6,172.8508873,13.82807098,81
MW,U,38248,1293,18,338.0568919,4.706128425,1311
MW,C,9764,40,0,40.96681688,0,40
MW,U,46597,841,9,180.4837221,1.931454815,850
MW,U,9380,91,2,97.01492537,2.132196162,93
SE,U,16878,251,4,148.7143026,2.369949046,255
SE,C,1318,22,1,166.9195751,7.587253414,23
C,U,12969,168,2,129.5396715,1.542138947,170
C,C,2878,12,3,41.69562196,10.42390549,15
C,U,22764,360,3,158.1444386,1.317870322,363
C,U,6426,73,0,113.600996,0,73
W,U,23313,491,13,210.6121048,5.576287908,504
W,C,9697,17,0,17.53119522,0,17
NE,U,35650,815,24,228.6115007,6.732117812,839
NE,C,6846,140,7,204.4989775,10.22494888,147
SW,U,23753,891,27,375.1105124,11.36698522,918
SW,U,3556,65,3,182.7896513,8.436445444,68
NE,U,4018,120,1,298.6560478,2.488800398,121
NE,U,6483,130,1,200.5244486,1.542495758,131
SE,U,25494,479,8,187.887346,3.137993253,487
SE,C,1673,57,0,340.7053198,0,57
C,U,11764,263,5,223.5634138,4.250255015,268
C,C,2292,36,0,157.0680628,0,36
MW,U,18739,266,3,141.949944,1.600939218,269
MW,C,20496,101,1,49.27790788,0.487900078,102
SW,U,25104,304,7,121.0962396,2.788400255,311
SW,C,1961,27,0,137.6848547,0,27
NE,U,3239,16,0,49.39796233,0,16
NE,C,1902,19,1,99.89484753,5.257623554,20
NE,U,14264,266,4,186.4834549,2.804262479,270
NE,C,7774,223,5,286.8536146,6.431695395,228
SE,U,23000,601,17,261.3043478,7.391304348,618
SE,U,1476,26,2,176.1517615,13.5501355,28
C,U,9260,8,1,8.639308855,1.079913607,9
SE,U,26033,543,8,208.5814159,3.073022702,551
SE,C,12736,120,1,94.22110553,0.785175879,121
SW,U,7369,64,1,86.8503189,1.357036233,65
SW,U,13313,103,1,77.36798618,0.751145497,104
C,U,27668,496,6,179.268469,2.168570189,502
C,C,22609,106,1,46.88398425,0.442301738,107
NE,U,4638,106,10,228.5467874,21.56101768,116
NE,C,4114,44,1,106.9518717,2.430724356,45
W,U,21073,293,7,139.0404783,3.321786172,300
W,C,4227,80,1,189.2595221,2.365744026,81
NE,U,22774,243,1,106.7006235,0.439097216,244
NE,C,3072,27,3,87.890625,9.765625,30
MW,U,40922,416,13,101.6568105,3.176775329,429
MW,U,10549,120,7,113.7548583,6.635700066,127
C,U,12366,222,0,179.5245027,0,222
C,C,2729,12,0,43.97215097,0,12
