"","schoolid","schoolName","urban","charter","schPctnonw","schPctsped","schPctfree","MathAvgScore.0","MathAvgScore.1","MathAvgScore.2"
"1","Dtype 1 Dnum 1 Snum 2","RIPPLESIDE ELEMENTARY",0,0,0,0.117647059,0.362745098,652.8,656.6,652.6
"4","Dtype 1 Dnum 100 Snum 1","WRENSHALL ELEMENTARY",0,0,0.03030303,0.151515152,0.424242424,646.9,645.3,651.9
"7","Dtype 1 Dnum 108 Snum 30","CENTRAL MIDDLE",0,0,0.076923077,0.123076923,0.261538462,654.7,658.5,659.7
"10","Dtype 1 Dnum 11 Snum 121","SANDBURG MIDDLE",1,0,0.097744361,0.082706767,0.248120301,656.4,656.8,659.9
"13","Dtype 1 Dnum 11 Snum 193","OAK VIEW MIDDLE",1,0,0.053789731,0.095354523,0.141809291,657.7,658.2,659.8
"16","Dtype 1 Dnum 11 Snum 195","ROOSEVELT MIDDLE",1,0,0.123417722,0.088607595,0.240506329,655.9,659.1,660.3
"19","Dtype 1 Dnum 11 Snum 3","FRED MOORE MIDDLE SCHOOL",1,0,0.196319018,0.104294479,0.380368098,652,651.8,656.5
"22","Dtype 1 Dnum 11 Snum 4","COON RAPIDS MIDDLE SCHOOL",1,0,0.209359606,0.123152709,0.384236453,656.1,657.4,658.8
"25","Dtype 1 Dnum 11 Snum 6","JACKSON MIDDLE",1,0,0.271375465,0.074349442,0.286245353,654.9,655.3,656.3
"28","Dtype 1 Dnum 11 Snum 90","NORTHDALE MIDDLE",1,0,0.236503856,0.110539846,0.362467866,654.4,656.1,657.1
"31","Dtype 1 Dnum 110 Snum 220","CLEARWATER MIDDLE",1,0,0.075697211,0.143426295,0.103585657,653.7,655,655.6
"34","Dtype 1 Dnum 111 Snum 841","WATERTOWN-MAYER MIDDLE",1,0,0.053571429,0.098214286,0.25,654.2,647.5,657
"37","Dtype 1 Dnum 112 Snum 61","CHASKA MIDDLE SCHOOL EAST",1,0,0.085427136,0.085427136,0.105527638,656.4,655.9,660.1
"40","Dtype 1 Dnum 112 Snum 62","CHASKA MIDDLE SCHOOL WEST",1,0,0.111111111,0.102222222,0.137777778,659.1,657.5,659.8
"43","Dtype 1 Dnum 112 Snum 63","PIONEER RIDGE MIDDLE SCHOOL",1,0,0.104545455,0.122727273,0.15,NA,NA,659.5
