year,winner,condition,speed,starters
1896,Ben Brush,good,51.66,8
1897,Typhoon II,slow,49.81,6
1898,Plaudit,good,51.16,4
1899,Manuel,fast,50,5
1900,Lieut. Gibson,fast,52.28,7
1901,His Eminence,fast,51.66,5
1902,Alan-a-Dale,fast,51.26,4
1903,Judge Himes,fast,51.16,6
1904,Elwood,fast,51.36,5
1905,Agile,slow,50.48,3
1906,Sir Huon,fast,51.24,6
1907,Pink Star,slow,49.77,6
1908,Stone Street,slow,48.82,8
1909,Wintergreen,slow,51.48,10
1910,Donau,fast,52.22,7
1911,Meridian,fast,52.8,7
1912,Worth,slow,51,7
1913,Donerail,fast,52.88,8
1914,Old Rosebud,fast,53.48,7
1915,Regret,fast,52.63,16
1916,George Smith,fast,53.23,9
1917,*Omar Khayyam,fast,52.97,15
1918,Exterminator,slow,50.46,8
1919,Sir Barton,slow,50.85,12
1920,Paul Jones,slow,51.16,17
1921,Behave Yourself,fast,53.14,12
1922,Morvich,fast,52.97,10
1923,Zev,fast,52.63,21
1924,Black Gold,fast,52.72,19
1925,Flying Ebony,slow,51.72,20
1926,Bubbling Over,fast,53.31,13
1927,Whiskery,slow,52.38,15
1928,Reigh Count,slow,50.61,22
1929,Clyde Van Dusen,slow,50.46,21
1930,Gallant Fox,good,51.72,15
1931,Twenty Grand,fast,54.19,12
1932,Burgoo King,fast,52.72,20
1933,Brokers Tip,good,52.05,13
1934,Cavalcade,fast,53.23,13
1935,Omaha,good,52.8,18
1936,Bold Venture,fast,53.66,14
1937,War Admiral,fast,53.57,20
1938,Lawrin,fast,52.88,10
1939,Johnstown,fast,53.48,8
1940,Gallahadion,fast,52.8,8
1941,Whirlaway,fast,54.37,11
1942,Shut Out,fast,53.05,15
1943,Count Fleet,fast,53.23,10
1944,Pensive,good,53.14,16
1945,Hoop Jr.,slow,51.97,16
1946,Assault,slow,52.13,17
1947,Jet Pilot,slow,52.05,13
1948,Citation,slow,52.63,6
1949,Ponder,fast,53.14,14
1950,Middleground,fast,54.28,14
1951,Count Turf,fast,53.83,20
1952,Hill Gail,fast,54.28,16
1953,Dark Star,fast,54.1,11
1954,Determine,fast,53.66,17
1955,Swaps,fast,54.19,10
1956,Needles,fast,53.48,17
1957,Iron Liege,fast,54.01,9
1958,Tim Tam,slow,52.8,14
1959,*Tomy Lee,fast,54.01,17
1960,Venetian Way,good,53.92,13
1961,Carry Back,good,53.23,15
1962,Decidedly,fast,54.82,15
1963,Chateaugay,fast,54.55,9
1964,Northern Dancer,fast,55,12
1965,Lucky Debonair,fast,54.46,11
1966,Kauai King,fast,54.1,15
1967,Proud Clarion,fast,54.73,14
1968,Forward Pass**,fast,54.01,14
1969,Majestic Prince,fast,54.19,8
1970,Dust Commander,good,53.48,17
1971,Canonero II,fast,53.57,20
1972,Riva Ridge,fast,54.19,16
1973,Secretariat,fast,55.28,13
1974,Cannonade,fast,53.23,23
1975,Foolish Pleasure,fast,54.1,15
1976,Bold Forbes,fast,54.28,9
1977,Seattle Slew,fast,54.01,15
1978,Affirmed,fast,54.46,11
1979,Spectacular Bid,fast,53.92,10
1980,Genuine Risk,fast,54.1,13
1981,Pleasant Colony,fast,54.1,21
1982,Gato Del Sol,fast,53.92,19
1983,Sunny’s Halo,fast,53.92,20
1984,Swale,fast,53.92,20
1985,Spend a Buck,fast,54.91,13
1986,Ferdinand,fast,53.75,16
1987,Alysheba,fast,53.48,17
1988,Winning Colors,fast,54.01,17
1989,Sunday Silence,slow,52.8,15
1990,Unbridled,good,54.1,15
1991,Strike the Gold,fast,53.66,16
1992,Lil E. Tee,fast,53.66,18
1993,Sea Hero,fast,53.92,19
1994,Go for Gin,slow,53.4,14
1995,Thunder Gulch,fast,54.46,19
1996,Grindstone,fast,54.55,19
1997,Silver Charm,fast,53.92,13
1998,Real Quiet,fast,54.01,15
1999,Charismatic,fast,53.66,19
2000,Fusaichi Pegasus,fast,54.49,19
2001,Monarchos,fast,55.01,17
2002,War Emblem,fast,54.49,18
2003,Funny Cide,fast,54.46,16
2004,Smarty Jones,slow,53.2,18
2005,Giacomo,fast,53.77,20
2006,Barbaro,fast,54.38,20
2007,Street Sense,fast,54.02,20
2008,Big Brown,fast,54.18,20
2009,Mine that Bird,slow,53.81,19
2010,Super Saver,slow,53.03,20
2011,Animal Kingdom,fast,54.08,19
2012,Ill Have Another,fast,54.17,20
2013,Orb,slow,53.71,19
2014,California Chrome,fast,53.37,19
2015,American Pharoah,fast,53.65,18
2016,Nyquist,fast,54.41,20
2017,Always Dreaming,fast,53.4,20
