"","location","age","total","numLT5","roof"
"1","CentralLuzon",65,0,0,"Predominantly Strong Material"
"2","MetroManila",75,3,0,"Predominantly Strong Material"
"3","DavaoRegion",54,4,0,"Predominantly Strong Material"
"4","Visayas",49,3,0,"Predominantly Strong Material"
"5","MetroManila",74,3,0,"Predominantly Strong Material"
"6","Visayas",59,6,0,"Predominantly Strong Material"
"7","MetroManila",54,5,0,"Predominantly Strong Material"
"8","Visayas",41,5,0,"Predominantly Strong Material"
"9","Visayas",50,6,0,"Predominantly Strong Material"
"10","CentralLuzon",59,4,0,"Predominantly Strong Material"
"11","CentralLuzon",72,2,0,"Predominantly Strong Material"
"12","MetroManila",36,3,1,"Predominantly Strong Material"
"13","CentralLuzon",42,7,0,"Predominantly Strong Material"
"14","DavaoRegion",39,4,1,"Predominantly Light/Salvaged Material"
"15","CentralLuzon",65,5,0,"Predominantly Strong Material"
"16","DavaoRegion",56,4,1,"Predominantly Strong Material"
"17","Visayas",57,2,1,"Predominantly Light/Salvaged Material"
"18","IlocosRegion",59,2,0,"Predominantly Strong Material"
"19","Visayas",66,2,0,"Predominantly Strong Material"
"20","IlocosRegion",47,5,0,"Predominantly Light/Salvaged Material"
"21","MetroManila",66,10,0,"Predominantly Strong Material"
"22","MetroManila",36,4,0,"Predominantly Light/Salvaged Material"
"23","Visayas",47,6,1,"Predominantly Strong Material"
"24","DavaoRegion",53,4,1,"Predominantly Strong Material"
"25","Visayas",63,1,0,"Predominantly Strong Material"
"26","IlocosRegion",47,5,0,"Predominantly Strong Material"
"27","Visayas",60,3,0,"Predominantly Strong Material"
"28","MetroManila",76,0,0,"Predominantly Strong Material"
"29","DavaoRegion",76,1,0,"Predominantly Strong Material"
"30","Visayas",37,2,0,"Predominantly Strong Material"
"31","Visayas",61,0,0,"Predominantly Light/Salvaged Material"
"32","Visayas",56,9,1,"Predominantly Strong Material"
"33","MetroManila",24,3,1,"Predominantly Strong Material"
"34","Visayas",57,1,0,"Predominantly Light/Salvaged Material"
"35","Visayas",70,7,1,"Predominantly Strong Material"
"36","MetroManila",55,3,0,"Predominantly Strong Material"
"37","Visayas",62,5,0,"Predominantly Light/Salvaged Material"
"38","CentralLuzon",55,5,0,"Predominantly Strong Material"
"39","DavaoRegion",29,2,0,"Predominantly Strong Material"
"40","CentralLuzon",54,3,0,"Predominantly Strong Material"
"41","IlocosRegion",70,4,0,"Predominantly Light/Salvaged Material"
"42","IlocosRegion",53,4,0,"Predominantly Strong Material"
"43","CentralLuzon",43,5,0,"Predominantly Strong Material"
"44","MetroManila",56,3,0,"Predominantly Strong Material"
"45","Visayas",38,10,4,"Predominantly Light/Salvaged Material"
"46","MetroManila",39,1,0,"Predominantly Strong Material"
"47","Visayas",48,1,0,"Predominantly Strong Material"
"48","Visayas",77,7,1,"Predominantly Strong Material"
"49","Visayas",67,1,0,"Predominantly Strong Material"
"50","DavaoRegion",50,8,1,"Predominantly Strong Material"
"51","Visayas",62,0,0,"Predominantly Strong Material"
"52","IlocosRegion",74,3,0,"Predominantly Strong Material"
"53","MetroManila",49,3,0,"Predominantly Light/Salvaged Material"
"54","MetroManila",60,6,1,"Predominantly Strong Material"
"55","DavaoRegion",48,2,0,"Predominantly Strong Material"
"56","MetroManila",50,1,0,"Predominantly Light/Salvaged Material"
"57","MetroManila",49,1,0,"Predominantly Strong Material"
"58","Visayas",51,11,1,"Predominantly Strong Material"
"59","DavaoRegion",65,2,0,"Predominantly Strong Material"
"60","DavaoRegion",44,4,0,"Predominantly Strong Material"
"61","DavaoRegion",47,5,0,"Predominantly Strong Material"
"62","MetroManila",50,1,0,"Predominantly Strong Material"
"63","IlocosRegion",70,0,0,"Predominantly Strong Material"
"64","CentralLuzon",54,3,0,"Predominantly Light/Salvaged Material"
"65","Visayas",45,8,2,"Predominantly Strong Material"
"66","CentralLuzon",40,5,0,"Predominantly Strong Material"
"67","Visayas",65,6,1,"Predominantly Strong Material"
"68","DavaoRegion",48,2,0,"Predominantly Strong Material"
"69","MetroManila",39,3,1,"Predominantly Strong Material"
"70","CentralLuzon",53,3,0,"Predominantly Strong Material"
"71","Visayas",55,4,0,"Predominantly Strong Material"
"72","Visayas",48,5,1,"Predominantly Strong Material"
"73","Visayas",30,2,0,"Predominantly Strong Material"
"74","Visayas",32,4,1,"Predominantly Strong Material"
"75","MetroManila",56,0,0,"Predominantly Strong Material"
"76","CentralLuzon",32,3,0,"Predominantly Strong Material"
"77","Visayas",53,0,0,"Predominantly Strong Material"
"78","MetroManila",42,3,0,"Predominantly Strong Material"
"79","CentralLuzon",63,7,0,"Predominantly Strong Material"
"80","DavaoRegion",69,0,0,"Predominantly Strong Material"
"81","Visayas",74,1,0,"Predominantly Strong Material"
"82","CentralLuzon",48,7,0,"Predominantly Strong Material"
"83","IlocosRegion",84,1,0,"Predominantly Strong Material"
"84","CentralLuzon",51,3,1,"Predominantly Strong Material"
"85","IlocosRegion",50,7,1,"Predominantly Light/Salvaged Material"
"86","MetroManila",37,3,0,"Predominantly Strong Material"
"87","Visayas",56,15,1,"Predominantly Strong Material"
"88","Visayas",65,2,1,"Predominantly Strong Material"
"89","Visayas",60,2,1,"Predominantly Light/Salvaged Material"
"90","Visayas",45,4,1,"Predominantly Light/Salvaged Material"
"91","DavaoRegion",36,4,0,"Predominantly Strong Material"
"92","Visayas",49,7,2,"Predominantly Strong Material"
"93","Visayas",39,5,0,"Predominantly Strong Material"
"94","Visayas",72,0,0,"Predominantly Strong Material"
"95","MetroManila",43,4,0,"Predominantly Strong Material"
"96","Visayas",59,2,0,"Predominantly Strong Material"
"97","Visayas",64,5,1,"Predominantly Strong Material"
"98","CentralLuzon",64,2,0,"Predominantly Strong Material"
"99","Visayas",49,3,0,"Predominantly Strong Material"
"100","Visayas",42,4,1,"Predominantly Strong Material"
"101","MetroManila",38,2,0,"Predominantly Strong Material"
"102","CentralLuzon",44,4,1,"Predominantly Strong Material"
"103","IlocosRegion",74,2,0,"Predominantly Strong Material"
"104","DavaoRegion",65,2,0,"Predominantly Strong Material"
"105","DavaoRegion",50,3,0,"Predominantly Strong Material"
"106","Visayas",47,5,1,"Predominantly Strong Material"
"107","MetroManila",52,5,1,"Predominantly Strong Material"
"108","MetroManila",55,4,0,"Predominantly Strong Material"
"109","Visayas",30,4,2,"Predominantly Strong Material"
"110","Visayas",40,8,0,"Predominantly Strong Material"
"111","MetroManila",83,3,0,"Predominantly Strong Material"
"112","DavaoRegion",30,4,0,"Predominantly Strong Material"
"113","CentralLuzon",64,1,0,"Predominantly Light/Salvaged Material"
"114","Visayas",61,3,0,"Predominantly Strong Material"
"115","CentralLuzon",38,3,1,"Predominantly Strong Material"
"116","MetroManila",34,3,1,"Predominantly Strong Material"
"117","Visayas",40,5,0,"Predominantly Strong Material"
"118","CentralLuzon",69,1,0,"Predominantly Strong Material"
"119","Visayas",68,3,0,"Predominantly Strong Material"
"120","DavaoRegion",52,6,0,"Predominantly Strong Material"
"121","Visayas",69,2,0,"Predominantly Strong Material"
