camper,persons,child,count,LOS
0,1,0,0,3
1,1,0,0,3
0,1,0,0,3
1,2,1,0,3
0,1,0,1,3.4
1,4,2,0,3
0,3,1,0,3
0,4,3,0,3
1,3,2,0,3
1,1,0,1,3.1
0,4,1,0,3
1,3,2,0,3
0,3,0,1,3.1
0,3,0,2,3
1,1,0,0,3
1,1,0,1,3.7
0,4,1,0,3
1,3,2,0,3
1,2,1,1,3.5
0,3,1,0,3
0,4,1,1,3.2
1,4,0,5,3.5
1,2,1,0,3
1,2,0,3,3.5
1,3,0,30,13.9
1,2,0,0,3
1,4,0,13,14.3
0,2,1,0,3
0,1,0,0,3
0,4,3,0,3
0,1,0,0,3
1,3,1,0,3
1,4,0,11,10.5
1,4,1,5,7.5
1,1,0,0,3
0,2,0,1,3.9
1,2,1,1,3.9
1,4,1,7,5.5
1,3,1,0,3
1,4,1,14,6.5
1,1,0,0,3
1,4,0,32,29.2
0,3,2,0,3
1,4,0,1,3.3
0,4,2,0,3
1,1,0,0,3
1,2,1,0,3
0,1,0,1,3.6
1,2,1,5,7.8
0,2,1,0,3
1,2,1,1,3.2
1,2,1,0,3
1,4,0,22,6.8
0,2,0,0,3
1,3,0,15,5.3
1,1,0,0,3
1,1,0,0,3
1,1,0,0,3
1,4,1,5,4.7
1,1,0,4,3.5
0,2,0,2,3.9
1,2,1,0,3
0,2,1,2,4.4
1,4,0,32,26.7
0,4,3,0,3
1,1,0,0,3
0,1,0,1,3.9
0,3,2,0,3
1,1,0,0,3
1,2,1,0,3
1,3,0,7,3.9
0,4,3,0,3
0,4,2,0,3
1,3,2,0,3
1,1,0,0,3
0,2,0,0,3
0,3,2,0,3
1,1,0,0,3
0,2,1,0,3
0,4,0,2,3.4
1,4,1,3,3.9
0,2,1,1,3.5
1,3,0,5,3.2
0,1,0,0,3
1,1,0,2,4.3
0,3,1,1,3.3
0,4,1,0,3
1,1,0,1,3.2
1,4,0,149,29.2
1,3,2,0,3
1,3,1,1,3.1
0,2,0,0,3
1,3,0,0,3
0,2,1,1,3.5
0,4,2,0,3
1,3,1,0,3
0,4,2,0,3
0,4,0,2,3.8
1,2,0,2,3.4
0,4,0,29,4.6
1,1,0,3,5.1
1,2,0,0,3
0,4,2,0,3
0,3,0,5,4.3
1,2,0,0,3
0,4,1,0,3
1,1,0,0,3
0,3,1,0,3
1,4,1,0,3
1,4,1,1,3.3
1,1,0,7,5.5
1,2,0,1,3.4
0,1,0,0,3
0,4,1,2,3.5
0,3,2,0,3
0,2,0,2,3.4
0,2,1,0,3
0,4,1,0,3
1,3,1,0,3
1,3,2,1,3.2
0,2,1,0,3
0,1,0,0,3
1,4,3,0,3
0,1,0,0,3
1,4,3,0,3
0,4,1,3,4.7
1,1,0,4,4.8
1,3,0,3,4.2
0,2,0,3,4.2
1,4,0,8,3.4
1,3,0,2,4
1,1,0,1,3.5
0,4,0,6,8.9
1,4,2,0,3
1,2,1,0,3
0,4,0,5,3.9
1,4,1,3,5
0,3,1,31,7.7
1,2,1,0,3
0,2,0,2,3.2
1,4,3,0,3
1,2,1,0,3
0,3,0,0,3
1,3,1,0,3
0,1,0,0,3
0,2,0,0,3
1,4,0,6,5.4
0,3,0,9,3.9
1,3,2,0,3
1,2,1,0,3
1,1,0,0,3
1,2,1,0,3
0,1,0,0,3
0,2,0,2,4
0,3,0,15,5.3
1,1,0,1,3.1
1,2,0,2,4.1
1,3,1,3,4
1,1,0,0,3
1,4,0,65,24.6
1,3,0,5,3.5
0,1,0,0,3
1,3,2,0,3
0,4,1,0,3
0,4,2,0,3
0,1,0,1,3.6
1,4,1,8,10
1,3,0,0,3
1,3,2,0,3
1,4,3,0,3
1,3,0,2,3.4
1,2,1,4,5.2
0,4,0,5,3.5
0,2,0,9,7.1
0,4,2,0,3
0,2,0,0,3
1,2,0,0,3
0,1,0,0,3
1,2,0,21,17.8
0,1,0,0,3
1,3,0,6,4.2
0,2,1,0,3
1,2,0,0,3
1,2,1,0,3
0,3,1,0,3
1,4,1,16,6.2
0,3,2,0,3
1,3,2,0,3
1,4,0,4,6.9
1,2,1,2,4.9
1,3,0,10,11.8
1,1,0,0,3
1,1,0,0,3
0,1,0,0,3
1,2,0,2,4.5
1,2,0,1,3.7
0,1,0,3,4.8
1,3,1,0,3
1,4,2,0,3
1,2,0,21,3.8
0,2,1,0,3
0,2,0,0,3
1,1,0,2,4.8
1,2,1,0,3
1,4,1,3,5.7
1,3,1,0,3
1,4,0,38,29.4
1,4,3,0,3
1,1,0,0,3
0,1,0,0,3
1,1,0,1,3.7
0,1,0,3,4.3
1,1,0,0,3
0,2,0,1,3.6
0,4,2,0,3
0,2,1,0,3
0,4,2,0,3
0,3,1,0,3
1,4,2,5,7.9
0,4,2,0,3
0,4,1,0,3
0,3,0,2,4.9
1,2,1,0,3
1,1,0,0,3
0,2,1,0,3
1,2,0,1,3.3
1,3,1,4,5.8
0,1,0,0,3
1,3,2,0,3
1,2,1,2,4.6
1,1,0,3,4.1
0,4,2,0,3
0,3,1,0,3
0,2,0,0,3
0,2,0,0,3
1,1,0,1,3.9
1,2,0,2,4.2
1,1,0,0,3
1,3,0,6,8.7
1,2,0,4,3.8
1,2,0,1,3.8
1,4,2,1,3.8
0,2,0,0,3
1,3,1,1,3
0,3,0,0,3
1,2,0,0,3
1,4,3,0,3
1,2,1,0,3
1,3,2,0,3
1,2,1,0,3
