"","dis_id","sch_id","stud_nm","mathn","readn","female","nonwhite","sch_size","sch_ses","dis_size","dis_ses"
"1","30,011.00","1,010","60,927",17,23,0,0,0.78,-4.72,0.11,7.27
"2","30,011.00","1,010","60,928",47,17,1,0,0.78,-4.72,0.11,7.27
"3","30,011.00","1,010","60,929",29,57,0,0,0.78,-4.72,0.11,7.27
"4","30,011.00","1,010","60,930",61,72,0,0,0.78,-4.72,0.11,7.27
"5","30,011.00","1,010","60,931",32,21,1,0,0.78,-4.72,0.11,7.27
"6","30,011.00","1,010","60,932",1,16,1,0,0.78,-4.72,0.11,7.27
"7","30,011.00","1,010","60,933",16,15,0,1,0.78,-4.72,0.11,7.27
"8","30,011.00","1,010","60,934",33,43,NA,0,0.78,-4.72,0.11,7.27
"9","30,011.00","1,010","60,935",60,44,1,0,0.78,-4.72,0.11,7.27
"10","30,011.00","1,010","60,936",50,33,1,0,0.78,-4.72,0.11,7.27
"11","30,011.00","1,010","60,937",51,60,0,0,0.78,-4.72,0.11,7.27
"12","30,011.00","1,010","60,938",37,38,0,0,0.78,-4.72,0.11,7.27
"13","30,011.00","1,010","60,939",91,99,1,NA,0.78,-4.72,0.11,7.27
"14","30,011.00","1,010","60,940",44,45,0,NA,0.78,-4.72,0.11,7.27
"15","30,011.00","1,010","60,941",44,22,1,0,0.78,-4.72,0.11,7.27
"16","30,011.00","1,010","60,942",37,63,0,0,0.78,-4.72,0.11,7.27
"17","30,011.00","1,010","60,943",20,28,0,0,0.78,-4.72,0.11,7.27
"18","30,011.00","1,010","60,944",61,56,0,0,0.78,-4.72,0.11,7.27
"19","30,011.00","1,010","60,945",47,21,1,0,0.78,-4.72,0.11,7.27
"20","30,011.00","1,010","60,946",58,62,0,0,0.78,-4.72,0.11,7.27
"21","30,011.00","1,010","60,947",50,60,0,0,0.78,-4.72,0.11,7.27
"22","30,011.00","1,010","60,948",54,57,0,0,0.78,-4.72,0.11,7.27
"23","30,011.00","1,010","60,949",43,56,1,0,0.78,-4.72,0.11,7.27
"24","30,011.00","1,010","60,950",68,70,1,0,0.78,-4.72,0.11,7.27
"25","30,011.00","1,010","60,951",60,65,0,0,0.78,-4.72,0.11,7.27
"26","30,011.00","1,010","60,952",48,40,1,0,0.78,-4.72,0.11,7.27
"27","30,011.00","1,010","60,953",39,57,0,0,0.78,-4.72,0.11,7.27
"28","30,011.00","1,010","60,954",45,47,1,0,0.78,-4.72,0.11,7.27
"29","30,011.00","1,010","60,955",86,43,1,0,0.78,-4.72,0.11,7.27
"30","30,011.00","1,010","60,956",57,69,0,0,0.78,-4.72,0.11,7.27
"31","30,011.00","1,010","60,957",44,46,0,0,0.78,-4.72,0.11,7.27
"32","30,011.00","1,010","60,958",38,62,0,0,0.78,-4.72,0.11,7.27
"33","30,011.00","1,010","60,959",32,37,0,0,0.78,-4.72,0.11,7.27
"34","30,011.00","1,010","60,960",54,53,1,0,0.78,-4.72,0.11,7.27
"35","30,011.00","1,010","60,961",56,76,0,0,0.78,-4.72,0.11,7.27
"36","30,011.00","1,010","60,962",39,21,1,0,0.78,-4.72,0.11,7.27
"37","30,011.00","1,010","60,963",67,55,0,0,0.78,-4.72,0.11,7.27
"38","30,011.00","1,010","60,964",43,57,0,0,0.78,-4.72,0.11,7.27
"39","30,011.00","1,010","60,965",38,46,1,0,0.78,-4.72,0.11,7.27
"40","30,011.00","1,010","60,966",30,47,0,NA,0.78,-4.72,0.11,7.27
"41","30,011.00","1,010","60,967",30,38,1,0,0.78,-4.72,0.11,7.27
"42","30,011.00","1,010","60,968",63,51,1,0,0.78,-4.72,0.11,7.27
"43","30,011.00","1,010","60,969",70,63,0,0,0.78,-4.72,0.11,7.27
"44","30,011.00","1,010","60,970",17,60,0,NA,0.78,-4.72,0.11,7.27
"45","30,011.00","1,010","60,971",47,26,1,0,0.78,-4.72,0.11,7.27
"46","30,011.00","1,010","60,972",34,37,1,1,0.78,-4.72,0.11,7.27
"47","30,011.00","1,010","60,973",51,52,1,0,0.78,-4.72,0.11,7.27
"48","30,011.00","1,010","60,974",73,74,0,0,0.78,-4.72,0.11,7.27
"49","30,011.00","1,010","60,975",52,69,0,0,0.78,-4.72,0.11,7.27
"50","30,011.00","1,010","60,976",65,64,0,0,0.78,-4.72,0.11,7.27
"51","30,011.00","1,010","60,977",77,63,1,0,0.78,-4.72,0.11,7.27
"52","30,011.00","1,010","60,978",66,54,1,NA,0.78,-4.72,0.11,7.27
"53","30,011.00","1,010","60,979",50,62,0,NA,0.78,-4.72,0.11,7.27
"54","30,011.00","1,010","60,980",38,33,0,0,0.78,-4.72,0.11,7.27
"55","30,011.00","1,010","60,981",64,70,0,0,0.78,-4.72,0.11,7.27
"56","30,011.00","1,010","60,982",29,36,0,0,0.78,-4.72,0.11,7.27
"57","30,011.00","1,010","60,983",64,73,0,0,0.78,-4.72,0.11,7.27
"58","30,011.00","1,010","60,984",25,1,1,NA,0.78,-4.72,0.11,7.27
"59","30,011.00","1,010","60,985",21,28,1,0,0.78,-4.72,0.11,7.27
"60","30,011.00","1,010","60,986",56,30,1,0,0.78,-4.72,0.11,7.27
"61","30,011.00","1,010","60,987",42,33,1,0,0.78,-4.72,0.11,7.27
"62","30,011.00","1,010","60,988",30,20,1,0,0.78,-4.72,0.11,7.27
"63","30,011.00","1,010","60,989",12,25,1,0,0.78,-4.72,0.11,7.27
"64","30,011.00","1,010","60,990",3,28,0,0,0.78,-4.72,0.11,7.27
"65","30,011.00","1,010","60,991",18,10,0,0,0.78,-4.72,0.11,7.27
"66","30,011.00","1,010","60,992",31,30,1,0,0.78,-4.72,0.11,7.27
"67","30,011.00","1,010","60,993",40,38,1,NA,0.78,-4.72,0.11,7.27
"68","30,011.00","1,010","60,994",23,23,0,0,0.78,-4.72,0.11,7.27
"69","30,011.00","1,010","60,995",30,29,1,0,0.78,-4.72,0.11,7.27
"70","30,011.00","1,010","60,996",48,51,0,0,0.78,-4.72,0.11,7.27
"71","30,011.00","1,010","60,997",23,35,1,0,0.78,-4.72,0.11,7.27
"72","30,011.00","1,010","60,998",50,73,1,0,0.78,-4.72,0.11,7.27
"73","30,011.00","1,010","60,999",53,30,1,0,0.78,-4.72,0.11,7.27
"74","30,011.00","1,010","61,000",82,73,1,NA,0.78,-4.72,0.11,7.27
"75","30,011.00","1,010","61,001",76,53,1,0,0.78,-4.72,0.11,7.27
"76","30,011.00","1,010","61,002",33,38,0,0,0.78,-4.72,0.11,7.27
"77","30,011.00","1,010","61,003",50,53,0,NA,0.78,-4.72,0.11,7.27
"78","30,011.00","1,010","61,004",23,10,NA,0,0.78,-4.72,0.11,7.27
"79","30,011.00","1,010","61,005",19,22,1,0,0.78,-4.72,0.11,7.27
"80","30,011.00","1,010","61,006",26,53,0,0,0.78,-4.72,0.11,7.27
"81","30,011.00","1,010","61,007",29,52,1,0,0.78,-4.72,0.11,7.27
"82","30,011.00","1,010","61,008",21,30,1,1,0.78,-4.72,0.11,7.27
"83","30,011.00","1,010","61,009",78,64,1,0,0.78,-4.72,0.11,7.27
"84","30,011.00","1,010","61,010",1,21,1,0,0.78,-4.72,0.11,7.27
"85","30,011.00","1,010","61,011",57,37,0,0,0.78,-4.72,0.11,7.27
"86","30,011.00","1,010","61,012",99,78,0,0,0.78,-4.72,0.11,7.27
"87","30,011.00","1,010","61,013",58,58,0,0,0.78,-4.72,0.11,7.27
"88","30,011.00","1,010","61,014",64,52,1,0,0.78,-4.72,0.11,7.27
"89","30,011.00","1,010","61,015",5,14,0,0,0.78,-4.72,0.11,7.27
"90","30,011.00","1,010","61,016",51,29,1,0,0.78,-4.72,0.11,7.27
"91","30,011.00","1,010","61,017",26,40,0,0,0.78,-4.72,0.11,7.27
"92","30,011.00","1,010","61,018",52,87,0,0,0.78,-4.72,0.11,7.27
"93","30,011.00","1,010","61,019",66,62,1,0,0.78,-4.72,0.11,7.27
"94","30,011.00","1,010","61,020",78,60,0,0,0.78,-4.72,0.11,7.27
"95","30,011.00","1,010","61,021",14,37,1,0,0.78,-4.72,0.11,7.27
"96","30,011.00","1,010","61,022",48,50,1,0,0.78,-4.72,0.11,7.27
"97","30,011.00","1,010","61,023",64,74,0,0,0.78,-4.72,0.11,7.27
"98","30,011.00","1,010","61,024",73,55,1,1,0.78,-4.72,0.11,7.27
"99","30,011.00","1,010","61,025",49,30,1,0,0.78,-4.72,0.11,7.27
