County,Obama,McCain,pct_Obama,pct_rural,medHHinc,unemp_rate,pct_poverty,medAge2007,medAge2000,Gini_Index,pct_native
Aitkin,4595,4589,50.03266550522648,100,38610,8.1,13.4,NA,46.5,NA,NA
Anoka,86977,91357,48.771967207599225,14.000000000000002,65832,5.5,6.4,35.6,33.7,0.36,93.6009592
Becker,7687,8851,46.48083202321925,76,43419,6.8,12.1,40.1,39.4,0.42,98.9804267
Beltrami,12019,9762,55.1811211606446,69,41039,6.9,17,31.7,31.5,0.43,98.378203
Benton,8452,10338,44.98137307078233,41,48939,6.1,8.7,32.8,31.9,0.37,99.3368157
Big Stone,1552,1362,53.260123541523676,100,39748,5.5,11.8,NA,43.6,NA,NA
Blue Earth,19325,14782,56.659923182924324,37,49783,4.5,12.3,31.1,29.9,0.42,95.5955094
Brown,5808,7454,43.79429950233751,37,46497,6.1,8.7,42.1,38.4,0.37,98.6307675
Carlton,11501,6549,63.717451523545705,63,49616,6.7,9.8,39.2,38.4,0.38,98.7531467
Carver,20654,28157,42.31423244760402,23,80038,4.9,3.9,34.5,33.9,0.41,94.6035204
Cass,7276,8660,45.657630522088354,100,38707,8.6,13.4,42,42.2,0.45,99.2728158
Chippewa,3277,2906,53.000161733786186,52,42751,5.1,10.3,NA,40.5,NA,NA
Chisago,12782,15788,44.73923696184809,64,66090,6.8,5.9,34.8,34.3,0.34,98.8263148
Clay,16666,11978,58.183214634827536,30,50506,3.6,13,32.4,32.3,0.41,97.1946036
Clearwater,1877,2291,45.03358925143954,100,34503,11.6,16.4,NA,39.7,NA,NA
Cook,2019,1240,61.95151887081927,100,44159,5.5,8.4,NA,44,NA,NA
Cottonwood,2759,3157,46.636240703177826,66,40476,5.3,10.7,NA,41.7,NA,NA
Crow Wing,15859,18566,46.06826434277415,63,42015,7,9.3,40,39.4,0.4,99.01027599999999
Dakota,116778,104365,52.80655503452517,6,74442,4.9,5.4,35.6,33.7,0.39,92.688829
Dodge,4463,5468,44.94008659752291,69,61230,5.2,6.6,NA,34.8,NA,NA
Douglas,9255,11241,45.155152224824356,57.99999999999999,44295,5,10.6,40,39.7,0.44,98.8398876
Faribault,3736,4197,47.094415731753436,79,41391,6.3,11.1,NA,42.4,NA,NA
Fillmore,5921,4993,54.251420194245924,100,43776,6.1,10.8,41.7,39.8,0.4,98.81218229999999
Freeborn,9915,6955,58.77296976882039,44,41944,5.7,8.7,42.3,40.4,0.39,96.4902223
Goodhue,12420,12775,49.29549513792419,51,55762,5.7,7.9,40,38.1,0.39,97.9885373
Grant,1850,1646,52.91762013729977,100,39285,7,11.8,NA,42.5,NA,NA
Hennepin,420958,231057,64.562625092981,2,60943,4.9,10.6,37.2,34.9,0.47,87.9171939
Houston,5906,4743,55.46060662973049,56.99999999999999,47960,5.7,8.4,NA,38.8,NA,NA
Hubbard,4872,6559,42.62094304960196,83,42231,7.7,11.4,NA,41.8,NA,NA
Isanti,8248,11325,42.13968221529658,73,56430,7,7.6,35.4,35.7,0.37,98.4933197
Itasca,13461,10309,56.630206142196045,81,43622,8,9.8,43.4,41.1,0.39,99.1257991
Jackson,2618,2858,47.80861943024105,71,43217,4.3,9.8,NA,40.8,NA,NA
Kanabec,3742,4479,45.517576937112274,80,45270,10.2,11.3,NA,38,NA,NA
Kandiyohi,10123,11318,47.21328296254839,46,46136,5,11,37.5,36.9,0.45,95.4428645
Kittson,1492,1016,59.4896331738437,100,39591,5.6,9.9,NA,42.4,NA,NA
Koochiching,3649,2962,55.19588564513689,46,41964,7.8,13.2,NA,41.5,NA,NA
Lac Qui Parle,2160,1913,53.03216302479745,100,40293,4.9,10.6,NA,43.4,NA,NA
Lake,4174,2636,61.29221732745962,69,46506,5.3,8.5,NA,42.9,NA,NA
Lake of the Woods,971,1278,43.174744330813695,100,40436,6.2,11.2,NA,41.6,NA,NA
Le Sueur,6994,7636,47.80587833219412,64,55984,7.4,7.5,38.5,37.3,0.37,97.4243796
Lincoln,1517,1491,50.432180851063826,100,38112,5,12.5,35.5,43,0.41,NA
