,Species,Zone,Tree,Tree.height,Tree.girth,Strata,Branch,Branch.length,Length,Width,Area,Petiole.length,Petiole.width,Herbivory,Stomata,Branchnum
1,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,1,49,12.03,5.44,44.77,11.2,2,0,40,17
2,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,1,49,11.24,4.73,38.11,10.4,1.9,3,40,17
3,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,1,49,11.97,5.14,42.58,10.3,1.8,0,40,17
4,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,1,49,11.15,5.39,42.44,10.7,1.7,0,40,17
5,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,1,49,11.02,4.83,38.3,9.5,1.4,0,40,17
6,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,2,31,10.69,4.88,37.9,8.2,1.7,4,40,18
7,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,2,31,10.07,4.82,36.08,8,1.5,9,40,18
8,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,2,31,10.79,5.05,39.29,8.4,1.7,3,40,18
9,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,2,31,9.4,4.77,34.22,8.1,1.6,25,40,18
10,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,2,31,9.44,4.62,33.28,7.1,1.5,6,40,18
11,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,3,30,11.33,4.83,39,8.4,1.6,2,40,19
12,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,3,30,10.88,4.72,37.22,8.1,1.4,10,40,19
13,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,3,30,10.41,4.46,34.37,8.1,1.5,3,40,19
14,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,3,30,9.49,4.69,33.88,8,1.7,1,40,19
15,Cassia fistula,Dry Thorn,1,3.5,32.5,Upper,3,30,10.89,4.57,36.22,7.5,1.7,8,40,19
16,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,1,29,11.89,4.57,38.48,8.9,1.6,0,66,14
17,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,1,29,10.18,4.75,35.85,7.7,1.6,0,66,14
18,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,1,29,10.03,4.68,35.03,8.9,1.8,2,66,14
19,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,1,29,11.52,5.15,41.63,8.7,1.6,4,66,14
20,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,1,29,12.72,5.22,44.82,9.1,1.6,0,66,14
21,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,2,31,10.58,4.95,38.13,7.4,1.5,0,66,15
22,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,2,31,11.52,5.14,41.56,9.6,1.6,2,66,15
23,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,2,31,9.92,4.85,35.95,8.5,1.5,1,66,15
24,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,2,31,10.4,5.18,39.3,8.7,1.4,0,66,15
25,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,2,31,11.54,5.22,42.15,7.4,1.5,1,66,15
