,id,diary,previous,perform_type,memory,audience,pa,na,age,gender,instrument,years_study,mpqab,mpqsr,mpqpem,mpqnem,mpqcon
1,1,1,0,Solo,Unspecified,Instructor,40,11,18,Female,voice,3,16,7,52,16,30
2,1,2,1,Large Ensemble,Memory,Public Performance,33,19,18,Female,voice,3,16,7,52,16,30
3,1,3,2,Large Ensemble,Memory,Public Performance,49,14,18,Female,voice,3,16,7,52,16,30
4,1,4,3,Solo,Memory,Public Performance,41,19,18,Female,voice,3,16,7,52,16,30
5,1,5,4,Solo,Memory,Student(s),31,10,18,Female,voice,3,16,7,52,16,30
6,1,6,5,Solo,Memory,Student(s),33,13,18,Female,voice,3,16,7,52,16,30
7,1,7,6,Solo,Memory,Instructor,34,11,18,Female,voice,3,16,7,52,16,30
8,1,8,7,Solo,Memory,Juried Recital,43,13,18,Female,voice,3,16,7,52,16,30
9,1,9,8,Solo,Score,Instructor,34,10,18,Female,voice,3,16,7,52,16,30
10,1,10,9,Solo,Score,Student(s),45,10,18,Female,voice,3,16,7,52,16,30
11,1,11,10,Solo,Score,Instructor,36,10,18,Female,voice,3,16,7,52,16,30
12,1,12,11,Solo,Memory,Instructor,39,10,18,Female,voice,3,16,7,52,16,30
13,1,13,12,Solo,Memory,Juried Recital,44,10,18,Female,voice,3,16,7,52,16,30
14,2,1,0,Solo,Memory,Student(s),26,19,18,Female,voice,4,25,10,28,21,39
15,2,2,1,Large Ensemble,Memory,Public Performance,28,17,18,Female,voice,4,25,10,28,21,39
16,2,3,2,Solo,Unspecified,Instructor,21,12,18,Female,voice,4,25,10,28,21,39
17,2,4,3,Solo,Memory,Instructor,24,13,18,Female,voice,4,25,10,28,21,39
18,2,5,4,Solo,Memory,Juried Recital,31,19,18,Female,voice,4,25,10,28,21,39
19,2,6,5,Solo,Unspecified,Public Performance,21,16,18,Female,voice,4,25,10,28,21,39
20,2,7,6,Solo,Unspecified,Public Performance,17,14,18,Female,voice,4,25,10,28,21,39
21,2,8,7,Small Ensemble,Memory,Public Performance,27,12,18,Female,voice,4,25,10,28,21,39
22,2,9,8,Small Ensemble,Memory,Public Performance,26,11,18,Female,voice,4,25,10,28,21,39
23,2,10,9,Small Ensemble,Memory,Public Performance,26,10,18,Female,voice,4,25,10,28,21,39
24,2,11,10,Solo,Unspecified,Instructor,30,12,18,Female,voice,4,25,10,28,21,39
25,2,12,11,Solo,Score,Instructor,34,13,18,Female,voice,4,25,10,28,21,39
26,2,13,12,Solo,Unspecified,Instructor,34,12,18,Female,voice,4,25,10,28,21,39
27,2,14,13,Solo,Unspecified,Instructor,24,13,18,Female,voice,4,25,10,28,21,39
28,3,1,0,Small Ensemble,Score,Public Performance,36,14,19,Female,voice,8,12,6,23,21,88
29,3,2,1,Solo,Memory,Instructor,39,10,19,Female,voice,8,12,6,23,21,88
30,3,3,2,Solo,Memory,Juried Recital,40,20,19,Female,voice,8,12,6,23,21,88
31,3,4,3,Solo,Score,Instructor,17,10,19,Female,voice,8,12,6,23,21,88
32,3,5,4,Solo,Score,Instructor,36,10,19,Female,voice,8,12,6,23,21,88
33,3,6,5,Small Ensemble,Memory,Student(s),22,17,19,Female,voice,8,12,6,23,21,88
34,3,7,6,Solo,Score,Instructor,28,15,19,Female,voice,8,12,6,23,21,88
35,3,8,7,Solo,Score,Instructor,24,12,19,Female,voice,8,12,6,23,21,88
36,3,9,8,Small Ensemble,Memory,Student(s),28,15,19,Female,voice,8,12,6,23,21,88
37,3,10,9,Small Ensemble,Memory,Student(s),28,13,19,Female,voice,8,12,6,23,21,88
38,3,11,10,Small Ensemble,Score,Public Performance,34,16,19,Female,voice,8,12,6,23,21,88
39,3,12,11,Small Ensemble,Score,Public Performance,35,16,19,Female,voice,8,12,6,23,21,88
40,3,13,12,Solo,Score,Instructor,30,11,19,Female,voice,8,12,6,23,21,88
41,3,14,13,Small Ensemble,Score,Public Performance,33,13,19,Female,voice,8,12,6,23,21,88
42,3,15,14,Large Ensemble,Memory,Public Performance,35,12,19,Female,voice,8,12,6,23,21,88
43,5,1,0,Solo,Unspecified,Instructor,31,18,19,Female,orchestral instrument,14,28,12,54,40,42
44,5,2,1,Solo,Score,Instructor,28,22,19,Female,orchestral instrument,14,28,12,54,40,42
45,5,3,2,Small Ensemble,Score,Student(s),33,14,19,Female,orchestral instrument,14,28,12,54,40,42
46,5,4,3,Small Ensemble,Score,Public Performance,33,13,19,Female,orchestral instrument,14,28,12,54,40,42
47,5,5,4,Solo,Unspecified,Instructor,25,14,19,Female,orchestral instrument,14,28,12,54,40,42
48,5,6,5,Solo,Score,Student(s),29,15,19,Female,orchestral instrument,14,28,12,54,40,42
49,5,7,6,Small Ensemble,Score,Student(s),25,15,19,Female,orchestral instrument,14,28,12,54,40,42
50,5,8,7,Small Ensemble,Score,Instructor,37,16,19,Female,orchestral instrument,14,28,12,54,40,42
51,5,9,8,Solo,Score,Student(s),31,23,19,Female,orchestral instrument,14,28,12,54,40,42
