,pot,plant,soil,sterile,species,germin,hgt13,hgt18,hgt23,hgt28
1,1,11,STP,Y,L,Y,2.3,2.9,4.5,5.1
2,1,12,STP,Y,L,Y,1.9,2,2.6,3.5
3,1,13,STP,Y,L,Y,1.5,1.9,2.7,3.9
4,1,14,STP,Y,L,Y,1.5,2.1,2.7,3.1
5,1,15,STP,Y,L,Y,2.4,2.7,3.5,3.9
6,1,16,STP,Y,L,Y,1.3,1.7,2.7,3.2
7,2,21,REM,Y,L,Y,1.7,1.9,2.7,2.9
8,2,22,REM,Y,L,N,NA,NA,NA,NA
9,2,23,REM,Y,L,N,NA,NA,NA,NA
10,2,24,REM,Y,L,N,NA,NA,NA,NA
11,2,25,REM,Y,L,N,NA,NA,NA,NA
12,2,26,REM,Y,L,N,NA,NA,NA,NA
13,3,31,REM,N,L,Y,0.4,0.4,0.6,0.6
14,3,32,REM,N,L,N,NA,NA,NA,NA
15,3,33,REM,N,L,N,NA,NA,NA,NA
16,3,34,REM,N,L,N,NA,NA,NA,NA
17,3,35,REM,N,L,N,NA,NA,NA,NA
18,3,36,REM,N,L,N,NA,NA,NA,NA
19,4,41,REM,Y,L,Y,0.8,1,1.1,0.9
20,4,42,REM,Y,L,N,NA,NA,NA,NA
21,4,43,REM,Y,L,N,NA,NA,NA,NA
22,4,44,REM,Y,L,N,NA,NA,NA,NA
23,4,45,REM,Y,L,N,NA,NA,NA,NA
24,4,46,REM,Y,L,N,NA,NA,NA,NA
25,5,51,STP,N,C,Y,0.7,1.9,2.3,2.5
26,5,52,STP,N,C,Y,0.3,0.8,NA,NA
27,5,53,STP,N,C,Y,0.6,1.9,2.5,2.7
28,5,54,STP,N,C,Y,1.5,2.8,3.5,3.7
29,5,55,STP,N,C,Y,1.5,2.4,3,3.7
30,5,56,STP,N,C,Y,1,1.6,1.6,1.8
31,5,57,STP,N,C,Y,0.8,1.7,2.1,2.1
32,5,58,STP,N,C,Y,NA,NA,1,1.8
33,6,61,STP,Y,C,Y,2.3,3,3.1,4.4
34,6,62,STP,Y,C,Y,0.3,1.8,2.9,3.2
35,6,63,STP,Y,C,Y,1.9,2.3,2.5,2.7
36,6,64,STP,Y,C,Y,2,3.3,3.5,6.4
37,6,65,STP,Y,C,Y,2.1,4,4.3,6.9
38,6,66,STP,Y,C,Y,2,3.2,3.8,5.4
39,7,71,CULT,Y,L,Y,2.5,2.6,4,4.8
40,7,72,CULT,Y,L,Y,2,3,3.6,4.5
41,7,73,CULT,Y,L,N,NA,NA,NA,NA
42,7,74,CULT,Y,L,N,NA,NA,NA,NA
43,7,75,CULT,Y,L,N,NA,NA,NA,NA
44,7,76,CULT,Y,L,N,NA,NA,NA,NA
45,8,81,CULT,N,C,Y,0.7,0.9,0.9,1
46,8,82,CULT,N,C,Y,1.5,2.4,2.5,2.8
47,8,83,CULT,N,C,Y,1,1.6,1.9,2
48,8,84,CULT,N,C,Y,1.6,2.2,2.3,2.5
49,8,85,CULT,N,C,Y,0.9,1.1,1.2,1.3
50,8,86,CULT,N,C,N,NA,NA,NA,NA
51,9,91,REM,N,C,Y,2.7,3.3,3.8,3.7
52,9,92,REM,N,C,Y,0.9,2.1,2.8,2.7
53,9,93,REM,N,C,Y,0.6,0.6,0.6,0.4
54,9,94,REM,N,C,Y,2.2,3,3.2,3.2
55,9,95,REM,N,C,Y,1.8,3,3.7,NA
56,9,96,REM,N,C,Y,0.3,0.3,0.3,0.3
57,10,101,REM,N,L,Y,2.3,2.9,3.1,3.4
58,10,102,REM,N,L,Y,1.7,2.5,3.4,3.4
59,10,103,REM,N,L,Y,2.9,3.3,3.7,4
60,10,104,REM,N,L,Y,1.1,1.4,1.6,1.7
61,10,105,REM,N,L,Y,1.6,2.4,2.1,2.6
62,10,106,REM,N,L,N,NA,NA,NA,NA
63,11,111,STP,N,C,Y,1.6,2.5,2.7,2.7
64,11,112,STP,N,C,Y,0.5,1.5,NA,NA
65,11,113,STP,N,C,Y,0.8,1.6,2.2,2.2
66,11,114,STP,N,C,Y,0.7,1.6,2.2,2
67,11,115,STP,N,C,Y,0.8,1.7,1.7,2.4
68,11,116,STP,N,C,Y,1.2,1.7,2.1,2.2
69,12,121,CULT,Y,C,Y,2.1,2.5,2.8,3
70,12,122,CULT,Y,C,Y,0.4,1.8,2.7,3.5
71,12,123,CULT,Y,C,Y,0.3,1.1,3.2,3.5
72,12,124,CULT,Y,C,Y,0.7,2.2,3.1,3.3
73,12,125,CULT,Y,C,Y,1.8,2.5,2.5,3.2
74,12,126,CULT,Y,C,N,NA,NA,NA,NA
75,13,131,CULT,Y,C,Y,2.8,3.2,3.2,3.8
76,13,132,CULT,Y,C,Y,1.9,2.8,3.5,4.7
77,13,133,CULT,Y,C,Y,2.2,3.2,3.3,3.9
78,13,134,CULT,Y,C,Y,1.8,3.1,2.9,4.3
79,13,135,CULT,Y,C,Y,2.8,2.4,5.6,6
80,13,136,CULT,Y,C,Y,1.8,3.3,3.9,4
81,14,141,REM,Y,L,Y,1.4,2.2,3.6,3.6
82,14,142,REM,Y,L,Y,1.1,1.5,1.7,1.8
83,14,143,REM,Y,L,N,NA,NA,NA,NA
84,14,144,REM,Y,L,N,NA,NA,NA,NA
85,14,145,REM,Y,L,N,NA,NA,NA,NA
86,14,146,REM,Y,L,N,NA,NA,NA,NA
87,15,151,STP,Y,L,Y,0.4,1.5,3,3.7
88,15,152,STP,Y,L,Y,2,2.5,3.7,4.4
89,15,153,STP,Y,L,Y,1.9,2.3,2.7,3.8
90,15,154,STP,Y,L,N,NA,NA,NA,NA
91,15,155,STP,Y,L,N,NA,NA,NA,NA
92,15,156,STP,Y,L,N,NA,NA,NA,NA
93,16,161,REM,Y,C,Y,0.3,0.3,0.3,0.3
94,16,162,REM,Y,C,Y,0.2,0.4,0.3,0.4
95,16,163,REM,Y,C,Y,0.3,1.9,3.9,4.5
96,16,164,REM,Y,C,Y,0.5,0.7,0.9,0.9
97,16,165,REM,Y,C,N,NA,NA,NA,NA
98,16,166,REM,Y,C,N,NA,NA,NA,NA
99,17,171,CULT,Y,L,Y,0.6,1.3,2.5,3.1
100,17,172,CULT,Y,L,Y,1,1.7,3.2,3.9
101,17,173,CULT,Y,L,Y,1.7,2.1,2.2,3
102,17,174,CULT,Y,L,Y,NA,1,2.8,3.7
