ID,TRANSECT,SPECIES,TUBEX,YEAR,HEIGHT
1,5,Basswood,0,2010,5
1,5,Basswood,0,2006,3.9
1,5,Basswood,0,2002,2.75
1,5,Basswood,0,1999,1.57
1,5,Basswood,0,1995,1.094
1,5,Basswood,0,1993,0.88
1,5,Basswood,0,1992,0.857
1,5,Basswood,0,1991,0.816
1,5,Basswood,0,1990,0.59
2,5,Basswood,0,2010,6.5
2,5,Basswood,0,2006,4.6
2,5,Basswood,0,2002,3.65
2,5,Basswood,0,1999,2.73
2,5,Basswood,0,1997,2.55
2,5,Basswood,0,1995,1.765
2,5,Basswood,0,1993,1.094
2,5,Basswood,0,1992,1.025
2,5,Basswood,0,1991,0.771
2,5,Basswood,0,1990,0.29
3,5,Basswood,0,2010,9.1
3,5,Basswood,0,2006,7.2
3,5,Basswood,0,2002,4.5
3,5,Basswood,0,1999,3.3
3,5,Basswood,0,1997,2.9
3,5,Basswood,0,1993,1.01
3,5,Basswood,0,1992,1.007
3,5,Basswood,0,1991,0.715
3,5,Basswood,0,1990,0.565
4,5,Basswood,0,2010,7.7
4,5,Basswood,0,2006,6.1
4,5,Basswood,0,2002,4.1
4,5,Basswood,0,1999,2.63
4,5,Basswood,0,1997,1.97
4,5,Basswood,0,1995,1.666
4,5,Basswood,0,1993,1.428
4,5,Basswood,0,1992,0.874
4,5,Basswood,0,1991,0.722
4,5,Basswood,0,1990,0.545
5,5,Basswood,0,2010,8.1
5,5,Basswood,0,2006,6.7
5,5,Basswood,0,2002,4.7
5,5,Basswood,0,1999,3.17
5,5,Basswood,0,1997,2.84
5,5,Basswood,0,1995,1.965
5,5,Basswood,0,1993,1.224
5,5,Basswood,0,1992,0.881
5,5,Basswood,0,1991,0.41
5,5,Basswood,0,1990,0.284
6,5,Basswood,0,2010,10.4
6,5,Basswood,0,2006,7.9
6,5,Basswood,0,2002,5.8
6,5,Basswood,0,1999,4
6,5,Basswood,0,1997,3.47
6,5,Basswood,0,1995,2.463
6,5,Basswood,0,1993,2.04
6,5,Basswood,0,1992,2
6,5,Basswood,0,1991,1.955
6,5,Basswood,0,1990,1.73
12,9,Basswood,0,2010,8.6
12,9,Basswood,0,2006,5.5
