dorm,drinks,sex
mohn,0,f
ytterboe,5,f
larson,10,m
rand,0,f
thorson,0,m
hillboe,3,f
mohn,0,f
ytterboe,0,f
thorson,0,m
melby,6,m
ytterboe,22,m
melby,0,m
rand,4,f
ytterboe,5,m
larson,4,m
hillboe,3,f
thorson,0,f
thorson,7,m
larson,2,m
larson,0,f
mohn,3,f
melby,0,f
rand,2,f
larson,0,f
melby,0,f
mohn,0,m
thorson,4,f
kildahl,0,f
larson,0,f
off campus,4,f
ytterboe,2,f
off campus,5,f
rand,0,m
mohn,1,f
mohn,1,f
larson,0,f
melby,5,m
ytterboe,2,m
larson,3,f
hillboe,0,f
melby,3,m
ytterboe,1,f
thorson,1,f
ytterboe,1,f
mohn,2,f
off campus,6,m
rand,3,f
larson,0,f
thorson,2,f
melby,0,f
melby,3,f
mohn,0,f
mohn,0,f
ytterboe,2,f
off campus,0,f
hillboe,0,m
mohn,0,f
melby,0,f
melby,3,f
larson,1,f
mohn,0,f
kittlesby,0,m
kildahl,0,f
kittlesby,0,f
off campus,10,m
larson,0,m
melby,0,f
melby,0,f
thorson,0,f
larson,0,f
melby,1,m
mohn,1,f
mohn,5,f
larson,1,f
mohn,0,f
off campus,5,f
off campus,1,f
